Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,4,0.078,0.510,0.000,0.971,0.004,18.392
1,7,0.178,0.416,0.002,0.944,0.009,27.557
2,4,0.077,0.465,0.000,0.975,0.005,18.504
3,4,0.133,0.387,0.008,0.933,0.004,18.598
4,4,0.069,0.488,0.000,0.982,0.004,18.557
5,3,0.118,0.511,0.000,0.981,0.003,15.820
6,3,0.072,0.472,0.001,0.992,0.003,15.709
7,5,0.149,0.511,0.001,0.983,0.008,21.172
8,6,0.156,0.466,0.001,0.993,0.008,23.791
9,4,0.076,0.441,0.002,0.967,0.004,18.748
10,5,0.163,0.383,0.008,0.959,0.006,21.880
11,9,0.222,0.452,0.002,0.941,0.014,34.916
12,3,0.052,0.435,0.000,0.989,0.003,15.943
13,7,0.176,0.485,0.001,0.981,0.012,27.752
14,4,0.079,0.353,0.001,0.926,0.004,18.422
15,9,0.186,0.449,0.000,0.989,0.017,33.690
16,9,0.310,0.357,0.011,0.968,0.011,34.001
17,7,0.167,0.416,0.002,0.980,0.011,28.279
18,4,0.065,0.459,0.000,0.990,0.004,18.475
19,4,0.149,0.492,0.000,0.978,0.004,18.520
20,3,0.096,0.473,0.000,0.973,0.003,15.665
21,3,0.080,0.560,0.000,0.991,0.003,15.864
22,5,0.127,0.468,0.001,0.982,0.006,21.110
23,3,0.066,0.543,0.000,0.989,0.003,15.835
24,3,0.050,0.480,0.000,0.997,0.002,15.652
25,4,0.111,0.525,0.000,0.985,0.004,18.501
26,5,0.120,0.314,0.009,0.945,0.005,21.626
27,3,0.071,0.501,0.000,0.991,0.003,15.665
28,6,0.131,0.487,0.000,0.983,0.008,24.035
29,3,0.073,0.456,0.001,0.985,0.005,15.936
