Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,22,0.448,0.010,0.924,13.106,144.489
1,19,0.487,0.005,0.949,11.604,122.928
2,24,0.395,0.022,0.921,14.616,161.663
3,19,0.454,0.010,0.925,11.078,120.895
4,29,0.444,0.011,0.886,17.454,212.970
5,21,0.407,0.009,0.940,12.360,136.474
6,22,0.446,0.007,0.942,12.676,142.602
7,20,0.473,0.010,0.880,11.835,125.454
8,24,0.449,0.007,0.934,14.135,160.013
9,17,0.328,0.007,0.880,10.757,107.623
10,10,0.460,0.002,0.935,5.954,58.244
11,22,0.431,0.021,0.941,12.720,141.141
12,22,0.450,0.005,0.918,13.170,142.126
13,24,0.420,0.007,0.928,13.522,161.346
14,22,0.423,0.007,0.912,12.673,146.605
15,21,0.437,0.010,0.917,12.689,137.183
16,16,0.411,0.013,0.919,9.888,99.505
17,30,0.422,0.007,0.937,17.958,213.257
18,21,0.386,0.016,0.944,12.799,138.455
19,22,0.434,0.010,0.839,12.053,137.212
20,20,0.458,0.009,0.908,10.837,122.392
21,16,0.454,0.012,0.893,9.692,100.254
22,27,0.414,0.018,0.909,14.934,181.354
23,21,0.448,0.008,0.924,11.915,140.316
24,20,0.391,0.009,0.912,12.195,129.223
25,18,0.457,0.004,0.942,9.098,107.882
26,13,0.472,0.001,0.946,7.163,72.583
27,16,0.442,0.003,0.936,8.923,95.030
28,14,0.504,0.003,0.982,7.982,81.503
29,21,0.438,0.010,0.914,13.004,138.909
