Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,7,0.160,0.497,0.001,0.978,1.634,50.069
1,8,0.212,0.494,0.001,0.984,1.441,55.618
2,12,0.222,0.446,0.001,0.976,1.649,78.861
3,8,0.205,0.452,0.001,0.985,1.339,57.162
4,8,0.145,0.472,0.001,0.984,1.340,56.652
5,10,0.267,0.465,0.002,0.980,1.557,69.998
6,11,0.252,0.486,0.001,0.986,1.690,73.401
7,5,0.149,0.481,0.001,0.983,1.163,43.542
8,7,0.179,0.514,0.000,0.992,1.643,50.965
9,4,0.076,0.455,0.000,0.967,1.401,38.193
10,3,0.094,0.553,0.000,0.987,1.221,39.378
11,10,0.243,0.480,0.001,0.993,1.635,64.264
12,9,0.193,0.475,0.001,0.990,1.617,63.488
13,11,0.269,0.465,0.004,0.994,1.737,75.552
14,6,0.153,0.475,0.000,0.977,1.380,49.821
15,9,0.186,0.452,0.001,0.989,1.471,66.374
16,7,0.207,0.433,0.001,0.995,1.646,52.498
17,6,0.122,0.405,0.001,0.982,1.483,50.468
18,9,0.166,0.480,0.001,0.987,1.427,61.703
19,9,0.288,0.472,0.001,0.978,1.784,64.302
20,5,0.134,0.461,0.000,0.976,1.483,45.476
21,4,0.102,0.501,0.000,0.990,1.342,44.110
22,2,0.049,0.503,0.000,0.984,1.265,30.071
23,4,0.093,0.535,0.000,0.990,1.397,42.427
24,7,0.146,0.472,0.000,0.991,1.346,53.550
25,4,0.111,0.503,0.001,0.985,1.180,40.418
26,5,0.120,0.477,0.000,0.999,1.575,44.176
27,3,0.071,0.496,0.000,0.991,1.029,37.366
28,11,0.256,0.479,0.003,0.985,1.576,72.840
29,11,0.246,0.453,0.003,0.988,1.697,74.234
