Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,1,0.631,0.000,0.962,0.246,11.047
1,2,0.533,0.001,0.933,0.446,14.137
2,1,0.544,0.003,0.973,0.147,11.242
3,1,0.488,0.000,0.983,0.091,11.124
4,1,0.660,0.000,0.984,0.142,11.181
5,2,0.504,0.001,0.939,0.447,14.361
6,1,0.501,0.001,1.000,0.238,11.251
7,5,0.479,0.001,0.932,1.806,23.966
8,1,0.641,0.000,1.000,0.158,11.267
9,1,0.404,0.000,0.949,0.165,11.149
10,1,0.480,0.000,0.986,0.087,11.226
11,2,0.503,0.000,0.999,0.505,14.263
12,2,0.467,0.001,0.989,0.525,14.328
13,1,0.542,0.000,1.000,0.127,11.195
14,4,0.472,0.000,0.948,1.273,20.414
15,2,0.548,0.000,0.996,0.437,14.150
16,4,0.433,0.001,0.929,1.346,21.015
17,1,0.494,0.000,0.981,0.113,11.242
18,2,0.472,0.000,0.994,0.495,14.330
19,1,0.553,0.000,0.977,0.124,11.326
20,3,0.365,0.004,0.906,0.699,17.182
21,4,0.465,0.013,0.758,1.164,20.794
22,2,0.469,0.000,0.984,0.462,14.094
23,1,0.519,0.000,1.000,0.161,11.112
24,2,0.552,0.000,0.999,0.504,14.013
25,3,0.484,0.000,0.985,0.963,17.156
26,2,0.533,0.000,0.964,0.621,14.117
27,3,0.501,0.000,0.973,0.952,17.381
28,2,0.572,0.003,0.912,0.621,14.526
29,1,0.441,0.000,0.984,0.225,11.290
