Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,11,0.245,0.462,0.003,0.871,75.510,129.641
1,19,0.530,0.458,0.008,0.906,110.042,185.883
2,20,0.397,0.442,0.004,0.884,131.680,221.778
3,15,0.369,0.416,0.004,0.921,103.432,168.661
4,9,0.167,0.419,0.015,0.902,45.511,87.977
5,9,0.241,0.438,0.005,0.957,68.190,109.891
6,19,0.433,0.358,0.117,0.837,120.947,202.801
7,9,0.292,0.471,0.014,0.925,76.747,120.442
8,8,0.206,0.490,0.002,0.939,56.719,97.169
9,14,0.281,0.409,0.009,0.859,82.929,144.017
10,4,0.143,0.485,0.001,0.945,32.589,56.522
11,8,0.202,0.433,0.004,0.974,56.082,95.184
12,6,0.130,0.425,0.001,0.929,41.136,73.202
13,14,0.328,0.457,0.008,0.898,93.753,155.757
14,7,0.172,0.461,0.002,0.922,47.589,83.116
15,8,0.167,0.423,0.001,0.977,54.150,92.353
16,12,0.422,0.473,0.005,0.903,85.738,133.997
17,11,0.270,0.387,0.005,0.937,74.246,124.205
18,22,0.448,0.445,0.023,0.856,134.177,231.216
19,8,0.242,0.489,0.002,0.956,66.069,106.968
20,10,0.243,0.477,0.004,0.843,68.854,115.062
21,5,0.151,0.501,0.001,0.906,35.584,63.429
22,5,0.127,0.457,0.001,0.953,31.901,60.270
23,15,0.392,0.438,0.108,0.823,103.981,170.419
24,11,0.280,0.436,0.007,0.846,71.794,121.632
25,3,0.052,0.474,0.000,0.985,16.741,44.840
26,7,0.166,0.392,0.059,0.949,45.156,78.930
27,14,0.312,0.398,0.010,0.834,90.131,151.825
28,6,0.131,0.532,0.000,0.968,40.743,75.689
29,10,0.237,0.418,0.004,0.868,65.490,109.076
