Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,12,0.417,0.011,0.932,4.381,66.883
1,13,0.389,0.006,0.968,4.466,84.541
2,15,0.443,0.001,0.967,6.528,87.433
3,11,0.391,0.007,0.977,4.801,73.429
4,10,0.449,0.001,0.977,3.414,61.004
5,3,0.511,0.000,0.981,1.475,26.764
6,9,0.423,0.002,0.942,3.663,56.129
7,9,0.401,0.007,0.954,3.080,54.346
8,13,0.439,0.001,0.975,4.569,74.309
9,17,0.327,0.009,0.910,6.640,110.308
10,7,0.447,0.001,0.989,2.864,43.591
11,14,0.419,0.006,0.979,4.430,81.757
12,12,0.394,0.003,0.949,4.957,77.317
13,14,0.446,0.002,0.964,5.509,83.525
14,12,0.377,0.008,0.914,4.219,72.088
15,11,0.410,0.005,0.980,4.814,72.010
16,7,0.446,0.000,0.987,3.306,46.096
17,13,0.362,0.008,0.959,5.938,81.078
18,11,0.456,0.000,0.980,4.367,66.016
19,11,0.395,0.006,0.962,4.320,66.030
20,10,0.417,0.003,0.939,3.607,60.308
21,11,0.463,0.000,0.974,4.550,67.135
22,15,0.421,0.003,0.948,4.089,76.590
23,10,0.450,0.003,0.961,2.852,53.773
24,8,0.415,0.005,0.977,1.598,37.842
25,16,0.441,0.002,0.939,3.293,73.744
26,10,0.446,0.002,0.963,2.366,47.583
27,6,0.519,0.000,0.988,1.523,29.853
28,14,0.440,0.005,0.956,3.102,66.237
29,13,0.438,0.001,0.972,3.208,57.379
