Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,14,0.4789,0.0029,0.0093,0.4690,6.2610,50.7537
1,8,0.4735,0.0014,0.0039,0.3582,2.8524,27.5899
2,6,0.5125,0.0005,0.0009,0.2553,2.1196,20.2931
3,4,0.5056,0.0007,0.0018,0.3600,1.1068,14.4797
4,9,0.5368,0.0013,0.0041,0.3625,3.3373,31.5454
5,5,0.5121,0.0007,0.0013,0.2447,1.6758,18.2631
6,4,0.5488,0.0003,0.0004,0.1777,1.3053,15.0042
7,6,0.4735,0.0041,0.0228,0.3056,1.9050,21.3024
8,9,0.4815,0.0010,0.0038,0.3727,3.4020,30.7175
9,4,0.5077,0.0002,0.0007,0.1659,1.1355,14.9571
10,4,0.5440,0.0004,0.0009,0.2182,1.1114,14.6468
11,8,0.4547,0.0035,0.0185,0.3732,2.9129,28.3897
12,8,0.4968,0.0008,0.0032,0.3157,2.9841,27.4505
13,7,0.5378,0.0002,0.0006,0.3924,2.4071,24.0795
14,6,0.4715,0.0005,0.0014,0.3002,2.1695,21.1273
15,9,0.4786,0.0015,0.0038,0.4916,3.0790,30.6913
16,10,0.4977,0.0007,0.0017,0.3583,3.9682,35.1384
17,13,0.5094,0.0025,0.0096,0.5426,5.3321,46.3208
18,8,0.5352,0.0006,0.0014,0.4189,3.0177,27.2540
19,11,0.4875,0.0017,0.0077,0.4443,4.1885,38.5306
20,6,0.5071,0.0006,0.0012,0.3023,1.8409,20.4655
21,10,0.4710,0.0021,0.0071,0.4685,3.7350,35.0122
22,6,0.4532,0.0013,0.0055,0.2795,2.1080,20.5415
23,8,0.4709,0.0009,0.0019,0.3191,2.9044,27.3282
24,5,0.5008,0.0004,0.0008,0.2735,1.7252,17.8651
25,6,0.5443,0.0005,0.0010,0.3262,2.0034,21.3231
26,5,0.4535,0.0006,0.0013,0.2363,1.5080,17.7534
27,10,0.4788,0.0013,0.0033,0.4155,4.0087,34.4413
28,5,0.4641,0.0004,0.0011,0.2847,1.5139,17.6271
29,4,0.5182,0.0002,0.0003,0.2281,1.1059,14.5751
