Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,6,0.4782,0.0003,0.0007,0.1965,1.6084,19.9711
1,9,0.5085,0.0011,0.0040,0.4602,2.4607,29.6546
2,7,0.4838,0.0018,0.0116,0.3416,1.8332,23.7219
3,10,0.4342,0.0020,0.0098,0.5745,3.3251,33.9398
4,6,0.4997,0.0002,0.0006,0.2637,1.5812,19.8738
5,6,0.5465,0.0013,0.0039,0.3123,1.5431,20.2923
6,4,0.4769,0.0010,0.0025,0.1777,0.9166,14.5202
7,11,0.4631,0.0038,0.0210,0.4937,3.5297,37.2217
8,5,0.4753,0.0001,0.0002,0.2001,1.0749,17.1179
9,9,0.5042,0.0005,0.0010,0.4651,2.6895,29.8179
10,5,0.5335,0.0003,0.0008,0.3234,1.0394,16.8973
11,4,0.5242,0.0005,0.0009,0.2070,0.9227,14.5107
12,5,0.4823,0.0004,0.0007,0.2067,1.3913,17.4076
13,6,0.5213,0.0003,0.0008,0.3404,1.5676,20.2375
14,10,0.4628,0.0009,0.0040,0.5182,2.9670,33.1558
15,8,0.4658,0.0023,0.0145,0.4609,2.2792,27.2786
16,8,0.5126,0.0007,0.0020,0.2685,2.5009,26.6825
17,8,0.4983,0.0006,0.0022,0.3730,2.2927,26.9086
18,10,0.4823,0.0026,0.0069,0.5338,2.9754,34.0556
19,9,0.5129,0.0005,0.0022,0.2876,3.1078,29.3696
20,4,0.4930,0.0002,0.0003,0.1707,0.8137,14.1826
21,6,0.5217,0.0001,0.0003,0.2591,1.4599,19.9694
22,10,0.4902,0.0017,0.0110,0.4453,3.1943,33.6361
23,11,0.4766,0.0014,0.0048,0.4415,3.6853,38.4083
24,10,0.3925,0.0022,0.0064,0.5561,2.9958,33.8783
25,5,0.4963,0.0001,0.0002,0.2779,1.2273,17.2818
26,3,0.4736,0.0001,0.0001,0.1217,0.5487,11.7698
27,11,0.4272,0.0032,0.0146,0.4914,3.4797,36.5213
28,5,0.5265,0.0006,0.0025,0.2847,1.2177,17.0272
29,11,0.4100,0.0113,0.0258,0.5719,3.0640,37.7574
