Method,Space Utilization,Occupancy,Decision Time,Local Stability,Static Stability
PCT,0.502,0.921,0.585,0.009,0.436
AR2L,0.483,0.867,1.51,0.014,0.446
CDRL,0.375,0.871,2.654,0.01,0.435
HeightmapMin,0.33,0.965,0.426,0.01,0.426
LSAH,0.285,0.947,0.003,0.009,0.424
TAPNet++,0.27,0.962,0.355,0.004,0.426
SDFPack,0.259,0.909,6.762,0.014,0.445
BR,0.258,0.895,0.003,0.024,0.428
DBL,0.257,0.956,0.279,0.006,0.427
PackE,0.171,0.986,0.24,0.001,0.478
MACS,0.134,0.88,2.76,0.029,0.449
OnlineBPH,0.12,0.975,0.001,0.002,0.458
