Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,16,0.338,0.402,0.010,0.957,23.050,99.437
1,16,0.252,0.442,0.001,0.973,24.351,103.320
2,26,0.250,0.405,0.027,0.943,36.340,165.991
3,17,0.204,0.458,0.001,0.972,22.799,105.476
4,23,0.219,0.463,0.001,0.953,32.989,145.584
5,26,0.292,0.500,0.003,0.961,37.840,165.528
6,22,0.256,0.418,0.004,0.961,31.386,135.435
7,14,0.242,0.357,0.008,0.946,19.497,87.454
8,20,0.204,0.426,0.001,0.965,29.803,131.635
9,20,0.222,0.403,0.006,0.967,28.395,122.254
10,22,0.249,0.434,0.004,0.955,32.627,147.626
11,23,0.235,0.422,0.005,0.959,34.076,152.899
12,20,0.229,0.424,0.003,0.960,31.490,131.372
13,27,0.179,0.407,0.017,0.944,43.804,174.921
14,19,0.241,0.426,0.029,0.959,30.458,123.469
15,19,0.240,0.395,0.010,0.962,29.776,124.880
16,22,0.206,0.457,0.001,0.954,32.816,133.271
17,19,0.187,0.418,0.002,0.959,30.768,124.511
18,26,0.198,0.407,0.005,0.960,40.496,167.414
19,15,0.157,0.416,0.001,0.969,24.350,97.060
20,28,0.212,0.460,0.002,0.945,47.204,184.921
21,19,0.254,0.369,0.007,0.945,33.042,129.244
22,24,0.194,0.465,0.001,0.961,39.694,158.683
23,24,0.245,0.453,0.004,0.973,37.363,154.885
24,22,0.222,0.436,0.001,0.963,34.306,141.718
25,15,0.224,0.450,0.001,0.970,22.834,92.341
26,21,0.183,0.414,0.004,0.967,31.147,140.433
27,25,0.230,0.426,0.003,0.962,37.583,164.069
28,29,0.271,0.433,0.003,0.945,42.647,196.565
29,24,0.232,0.453,0.004,0.939,37.560,170.538
