Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,3,0.311,0.009,0.027,0.940,0.650,12.376
1,1,0.466,0.000,0.000,0.966,0.530,6.857
2,2,0.456,0.000,0.000,0.951,0.585,9.530
3,10,0.418,0.004,0.013,0.999,1.136,35.833
4,1,0.347,0.000,0.000,0.961,0.515,6.826
5,4,0.365,0.000,0.000,0.956,0.738,15.334
6,1,0.347,0.000,0.000,0.961,0.502,6.849
7,2,0.406,0.000,0.001,0.936,0.556,9.445
8,2,0.461,0.000,0.000,0.946,0.588,9.453
9,10,0.326,0.010,0.032,0.845,1.098,36.514
10,1,0.433,0.000,0.000,0.970,0.525,6.879
11,4,0.372,0.001,0.002,0.897,0.746,15.316
12,2,0.453,0.000,0.000,0.970,0.589,9.480
13,6,0.418,0.001,0.003,0.920,0.837,21.418
14,1,0.428,0.000,0.000,0.966,0.522,6.747
15,1,0.477,0.000,0.000,0.949,0.504,6.868
16,1,0.422,0.000,0.000,0.925,0.524,6.833
17,1,0.393,0.000,0.000,0.956,0.522,6.843
18,1,0.348,0.000,0.000,0.933,0.516,6.861
19,1,0.353,0.000,0.000,0.963,0.511,6.835
20,2,0.388,0.000,0.000,0.922,0.589,9.569
21,1,0.422,0.000,0.000,0.962,0.509,6.870
22,1,0.324,0.000,0.000,0.940,0.510,6.848
23,2,0.413,0.107,0.209,0.792,0.572,9.667
24,1,0.477,0.000,0.000,0.949,0.513,6.880
25,1,0.507,0.000,0.000,0.981,0.503,6.829
26,1,0.462,0.000,0.000,0.953,0.508,6.905
27,1,0.401,0.000,0.000,0.967,0.520,6.909
28,1,0.477,0.000,0.000,0.949,0.518,6.876
29,1,0.510,0.000,0.000,0.992,0.514,6.958
