Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,26,0.449,0.020,0.109,0.882,0.271,151.037
1,24,0.445,0.043,0.540,0.898,0.197,138.618
2,30,0.371,0.020,0.060,0.867,0.329,189.618
3,21,0.418,0.013,0.045,0.928,0.116,115.232
4,11,0.365,0.005,0.031,0.888,0.064,51.689
5,7,0.414,0.007,0.040,0.922,0.022,33.618
6,2,0.491,0.000,0.000,0.923,0.005,15.432
7,11,0.431,0.011,0.050,0.891,0.054,50.351
8,14,0.440,0.004,0.025,0.927,0.075,64.832
9,10,0.453,0.003,0.013,0.896,0.057,48.881
10,8,0.409,0.002,0.006,0.925,0.030,38.984
11,24,0.361,0.019,0.055,0.898,0.188,129.823
12,13,0.425,0.003,0.014,0.964,0.077,61.504
13,15,0.429,0.008,0.030,0.917,0.092,72.871
14,20,0.436,0.007,0.047,0.942,0.155,106.518
15,25,0.425,0.010,0.047,0.925,0.203,141.129
16,8,0.344,0.012,0.051,0.917,0.032,38.766
17,10,0.351,0.008,0.036,0.885,0.059,47.669
18,18,0.443,0.003,0.009,0.868,0.117,93.176
19,9,0.470,0.005,0.031,0.908,0.055,43.459
20,14,0.400,0.008,0.053,0.924,0.096,68.504
21,42,0.392,0.015,0.082,0.892,0.679,282.854
22,13,0.430,0.002,0.005,0.904,0.094,60.700
23,13,0.422,0.006,0.020,0.916,0.081,61.122
24,12,0.442,0.010,0.060,0.910,0.076,62.076
25,16,0.547,0.003,0.015,0.963,0.048,81.742
26,21,0.397,0.009,0.046,0.906,0.203,114.290
27,37,0.402,0.029,0.107,0.901,0.548,258.190
28,18,0.451,0.007,0.033,0.916,0.127,95.566
29,35,0.394,0.022,0.086,0.914,0.314,234.667
