Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,38,0.624,0.424,0.024,0.981,31.920,233.012
1,49,0.586,0.237,0.033,0.975,41.545,341.594
2,19,0.166,0.358,0.017,0.965,11.129,91.803
3,34,0.376,0.317,0.026,0.978,32.131,202.574
4,44,0.419,0.341,0.035,0.957,37.576,282.049
5,36,0.389,0.310,0.024,0.960,26.128,212.791
6,45,0.434,0.204,0.042,0.963,36.383,300.448
7,25,0.363,0.347,0.031,0.967,17.953,129.198
8,39,0.386,0.293,0.029,0.966,32.658,234.935
9,43,0.461,0.359,0.039,0.980,43.667,286.632
10,37,0.437,0.397,0.021,0.962,33.018,221.058
11,46,0.421,0.348,0.031,0.964,37.846,297.193
12,39,0.479,0.341,0.031,0.969,36.993,253.571
13,59,0.488,0.276,0.028,0.953,57.630,447.092
14,55,0.561,0.350,0.025,0.957,53.556,389.809
15,35,0.362,0.347,0.037,0.968,26.411,198.283
16,32,0.321,0.343,0.016,0.957,24.502,178.929
17,47,0.445,0.377,0.021,0.962,41.777,310.702
18,29,0.224,0.407,0.018,0.962,23.981,156.414
19,16,0.166,0.398,0.011,0.972,9.618,73.106
20,56,0.484,0.304,0.023,0.951,53.315,428.306
21,26,0.360,0.315,0.018,0.965,20.966,144.771
22,32,0.270,0.361,0.025,0.964,22.065,174.598
23,34,0.378,0.404,0.027,0.974,24.998,195.050
24,15,0.151,0.351,0.021,0.968,8.599,69.159
25,33,0.450,0.393,0.039,0.972,21.887,182.358
26,44,0.481,0.393,0.023,0.963,37.778,268.427
27,48,0.518,0.372,0.028,0.964,38.844,308.050
28,38,0.418,0.399,0.021,0.953,28.641,218.332
29,40,0.315,0.338,0.019,0.948,41.942,250.666
