Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,56,0.333,0.027,0.078,0.926,0.483,427.000
1,27,0.413,0.016,0.324,0.954,0.170,128.753
2,27,0.283,0.007,0.023,0.941,0.080,129.849
3,5,0.076,0.010,0.028,1.000,0.004,20.898
4,33,0.413,0.007,0.053,0.944,0.152,144.403
5,24,0.306,0.007,0.061,0.939,0.096,95.764
6,48,0.343,0.027,0.411,0.913,0.270,269.148
7,30,0.351,0.004,0.014,0.945,0.186,140.458
8,38,0.295,0.019,0.062,0.925,0.297,213.987
9,27,0.399,0.000,0.003,0.953,0.164,107.990
10,12,0.360,0.003,0.016,0.941,0.024,46.308
11,28,0.380,0.003,0.023,0.942,0.114,120.580
12,45,0.259,0.022,0.131,0.949,0.214,286.532
13,52,0.298,0.018,0.091,0.935,0.355,318.118
14,37,0.265,0.017,0.077,0.942,0.123,218.158
15,16,0.364,0.001,0.007,0.968,0.027,62.985
16,37,0.149,0.006,0.024,0.953,0.137,247.440
17,57,0.266,0.045,0.431,0.908,0.384,386.449
18,30,0.344,0.006,0.020,0.937,0.110,147.656
19,39,0.386,0.018,0.120,0.917,0.156,200.538
20,19,0.346,0.000,0.001,0.974,0.069,67.489
21,32,0.325,0.001,0.003,0.956,0.126,144.396
22,19,0.426,0.001,0.003,0.956,0.060,70.749
23,33,0.413,0.004,0.019,0.945,0.139,151.695
24,13,0.468,0.000,0.000,0.955,0.029,43.382
25,16,0.469,0.003,0.012,0.971,0.014,62.461
26,43,0.315,0.019,0.059,0.919,0.117,230.509
27,26,0.333,0.001,0.006,0.951,0.085,99.348
28,21,0.452,0.002,0.007,0.943,0.049,78.656
29,34,0.158,0.017,0.066,0.964,0.086,206.122
