Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,9,0.487,0.001,0.838,11.018,56.974
1,3,0.406,0.001,0.944,3.000,20.164
2,10,0.373,0.010,0.943,9.812,49.932
3,4,0.450,0.002,0.961,4.369,26.570
4,4,0.434,0.004,0.908,6.509,29.718
5,5,0.445,0.005,0.976,4.690,32.549
6,32,0.177,0.027,0.962,61.849,238.894
7,3,0.435,0.001,0.949,3.357,22.243
8,4,0.348,0.002,0.945,5.995,26.989
9,5,0.415,0.011,0.861,10.498,36.932
10,3,0.402,0.002,0.960,3.493,24.897
11,2,0.585,0.003,0.951,0.785,16.451
12,12,0.339,0.007,0.916,19.489,69.234
13,1,0.397,0.000,0.961,0.011,10.388
14,3,0.437,0.361,0.842,2.918,24.325
15,2,0.402,0.000,0.954,0.744,16.052
16,8,0.419,0.002,0.930,9.397,45.377
17,4,0.279,0.024,0.848,5.492,25.452
18,4,0.424,0.001,0.928,6.457,30.090
19,4,0.440,0.005,0.863,4.801,23.744
20,8,0.433,0.008,0.886,10.297,44.038
21,5,0.308,0.039,0.843,9.980,37.560
22,20,0.355,0.030,0.911,32.499,118.578
23,4,0.454,0.002,0.924,5.289,24.400
24,11,0.263,0.006,0.945,16.361,61.821
25,4,0.431,0.001,0.843,3.836,24.182
26,3,0.458,0.001,0.938,1.964,22.016
27,4,0.355,0.002,0.963,7.098,27.172
28,4,0.408,0.004,0.869,6.014,29.814
29,4,0.459,0.002,0.779,5.217,25.146
