Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,9,0.240,0.347,0.007,0.899,0.012,34.217
1,7,0.126,0.439,0.000,0.981,0.008,26.120
2,24,0.219,0.349,0.009,0.915,0.037,97.254
3,5,0.049,0.436,0.002,0.976,0.007,21.055
4,11,0.072,0.444,0.006,0.939,0.021,37.803
5,9,0.124,0.464,0.004,0.961,0.010,32.586
6,54,0.531,0.356,0.020,0.954,0.102,362.478
7,16,0.281,0.295,0.014,0.901,0.030,59.270
8,8,0.097,0.455,0.001,0.973,0.013,29.194
9,14,0.134,0.437,0.000,0.980,0.030,50.959
10,4,0.048,0.425,0.001,0.960,0.004,17.852
11,8,0.076,0.398,0.003,0.851,0.011,30.144
12,12,0.118,0.347,0.016,0.957,0.016,42.543
13,6,0.039,0.443,0.000,0.946,0.007,22.929
14,4,0.067,0.414,0.001,0.963,0.004,17.540
15,4,0.055,0.342,0.043,0.927,0.004,17.889
16,10,0.088,0.479,0.000,0.956,0.011,35.075
17,4,0.052,0.442,0.000,0.965,0.004,17.699
18,9,0.072,0.363,0.005,0.945,0.013,32.961
19,6,0.051,0.455,0.001,0.962,0.006,22.994
20,7,0.049,0.433,0.016,0.936,0.008,26.310
21,3,0.053,0.434,0.001,0.968,0.003,15.101
22,9,0.061,0.469,0.000,0.961,0.006,31.905
23,25,0.264,0.405,0.027,0.955,0.045,96.877
24,8,0.077,0.429,0.000,0.968,0.008,28.882
25,5,0.048,0.435,0.001,0.966,0.006,20.375
26,9,0.109,0.299,0.011,0.786,0.012,33.908
27,21,0.195,0.392,0.003,0.906,0.039,83.212
28,4,0.032,0.419,0.000,0.960,0.004,17.694
29,6,0.061,0.371,0.012,0.905,0.008,23.903
