Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,37,0.452,0.009,0.057,0.908,12.553,254.663
1,38,0.438,0.014,0.093,0.915,12.613,247.969
2,12,0.480,0.003,0.023,0.942,4.076,56.045
3,24,0.528,0.057,0.837,0.965,7.875,135.522
4,37,0.485,0.004,0.020,0.920,13.150,235.050
5,33,0.419,0.005,0.030,0.916,11.751,196.657
6,48,0.432,0.011,0.040,0.903,17.898,335.785
7,35,0.452,0.011,0.083,0.916,13.405,232.532
8,34,0.429,0.014,0.062,0.919,12.767,219.077
9,63,0.440,0.021,0.086,0.905,24.078,536.158
10,19,0.463,0.003,0.022,0.946,6.331,98.982
11,14,0.439,0.004,0.050,0.933,4.956,68.963
12,61,0.394,0.025,0.078,0.900,22.506,527.962
13,55,0.435,0.016,0.054,0.915,19.750,451.879
14,23,0.496,0.001,0.009,0.947,7.890,116.423
15,22,0.495,0.002,0.006,0.941,8.239,111.802
16,35,0.321,0.020,0.068,0.931,11.949,222.252
17,40,0.437,0.014,0.181,0.912,13.936,266.857
18,55,0.441,0.012,0.055,0.891,21.756,458.931
19,40,0.443,0.010,0.041,0.885,13.955,263.349
20,37,0.477,0.007,0.051,0.910,12.919,233.933
21,56,0.432,0.011,0.045,0.913,20.505,443.413
22,41,0.408,0.017,0.251,0.900,15.810,284.833
23,33,0.490,0.002,0.018,0.922,11.683,197.826
24,32,0.471,0.007,0.028,0.919,10.590,196.286
25,19,0.528,0.005,0.030,0.949,6.372,96.371
26,35,0.481,0.007,0.029,0.926,12.701,226.993
27,43,0.467,0.005,0.029,0.923,13.300,270.650
28,39,0.466,0.023,0.255,0.911,8.694,257.962
29,29,0.507,0.004,0.026,0.944,7.744,160.990
