Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,18,0.454,0.006,0.979,2.575,110.317
1,16,0.457,0.002,0.979,2.108,90.613
2,26,0.379,0.021,0.963,2.678,169.279
3,43,0.416,0.019,0.979,3.966,324.680
4,39,0.408,0.011,0.957,3.890,272.033
5,40,0.415,0.012,0.959,3.650,290.709
6,46,0.362,0.012,0.963,3.850,369.471
7,21,0.431,0.004,0.967,2.553,123.237
8,44,0.384,0.012,0.965,4.122,343.253
9,44,0.444,0.022,0.980,4.098,337.687
10,20,0.426,0.016,0.963,2.488,118.402
11,47,0.410,0.016,0.964,4.182,376.857
12,38,0.370,0.017,0.966,4.057,288.704
13,48,0.419,0.015,0.952,4.448,380.325
14,44,0.411,0.014,0.956,4.303,355.392
15,34,0.428,0.010,0.968,3.583,252.060
16,55,0.406,0.012,0.959,4.959,492.399
17,18,0.375,0.007,0.963,2.106,112.713
18,56,0.375,0.017,0.960,5.020,494.049
19,17,0.426,0.017,0.972,2.462,104.222
20,42,0.431,0.010,0.950,3.804,323.441
21,23,0.446,0.008,0.965,2.492,146.191
22,35,0.351,0.028,0.963,3.780,256.324
23,26,0.447,0.005,0.975,2.782,162.731
24,31,0.384,0.013,0.967,3.287,211.506
25,21,0.419,0.004,0.972,2.894,131.756
26,33,0.381,0.022,0.966,3.191,243.607
27,37,0.420,0.012,0.963,3.683,270.181
28,25,0.400,0.006,0.952,2.477,153.571
29,52,0.419,0.019,0.949,4.777,448.182
