Data,Feasible Num,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,2,0.497,0.001,0.854,0.570,13.649
1,1,0.418,0.000,0.977,0.294,10.331
2,7,0.429,0.008,0.814,2.916,29.827
3,7,0.474,0.005,0.935,3.954,32.108
4,7,0.526,0.001,0.954,3.646,30.425
5,5,0.463,0.005,0.853,1.910,23.485
6,4,0.464,0.000,0.964,1.474,19.700
7,8,0.344,0.016,0.825,3.420,34.625
8,3,0.439,0.001,0.979,1.158,16.649
9,2,0.504,0.000,0.979,0.742,13.648
10,2,0.587,0.000,0.960,0.831,14.094
11,7,0.423,0.001,0.951,3.327,30.918
12,4,0.323,0.011,0.784,1.532,19.804
13,4,0.445,0.000,0.950,1.769,19.916
14,5,0.424,0.001,0.850,1.907,23.585
15,1,0.500,0.000,0.949,0.365,10.697
16,4,0.483,0.001,0.925,1.508,19.953
17,5,0.476,0.001,0.964,1.902,22.821
18,4,0.405,0.000,0.965,1.873,20.409
19,8,0.429,0.001,0.923,3.331,33.265
20,1,0.567,0.000,0.943,0.397,10.562
21,3,0.468,0.000,0.968,1.268,16.684
22,9,0.313,0.012,0.817,3.838,37.207
23,3,0.444,0.001,0.953,1.060,16.516
24,4,0.450,0.000,0.967,1.535,19.798
25,5,0.394,0.008,0.942,2.223,23.370
26,5,0.422,0.001,0.939,1.840,22.746
27,6,0.450,0.000,0.952,2.454,26.313
28,3,0.385,0.001,0.960,1.270,17.042
29,6,0.398,0.001,0.858,2.590,26.981
