Data,Feasible Num,Space Utilization,Static Stability,Position Offset,Plain Occupancy,Planning Time,All time
0,14,0.310,0.473,0.004,0.970,113.594,172.819
1,7,0.126,0.450,0.002,0.957,68.605,106.663
2,20,0.177,0.430,0.006,0.924,134.538,223.541
3,7,0.077,0.458,0.001,0.952,52.530,86.117
4,13,0.100,0.456,0.002,0.906,90.094,148.119
5,9,0.124,0.463,0.004,0.958,79.614,122.703
6,33,0.322,0.408,0.010,0.963,206.890,363.322
7,5,0.090,0.419,0.002,0.941,45.418,75.004
8,15,0.160,0.412,0.011,0.911,110.388,175.495
9,10,0.095,0.500,0.004,0.900,69.650,116.155
10,5,0.066,0.288,0.016,0.899,40.660,70.694
11,10,0.108,0.340,0.022,0.934,76.532,120.676
12,23,0.275,0.374,0.014,0.923,162.779,269.518
13,12,0.084,0.367,0.004,0.832,83.190,136.095
14,14,0.189,0.421,0.007,0.815,108.970,169.398
15,10,0.131,0.443,0.003,0.846,79.723,124.728
16,24,0.224,0.422,0.014,0.911,168.623,282.640
17,21,0.205,0.422,0.007,0.926,151.066,242.808
18,15,0.114,0.299,0.012,0.936,107.270,176.840
19,8,0.076,0.378,0.009,0.895,57.005,96.005
20,27,0.198,0.411,0.018,0.886,183.312,313.425
21,11,0.163,0.310,0.015,0.926,91.209,139.725
22,25,0.201,0.409,0.018,0.941,167.529,286.183
23,12,0.134,0.441,0.003,0.927,92.758,145.149
24,8,0.077,0.419,0.002,0.956,58.324,96.971
25,7,0.100,0.381,0.004,0.912,60.738,100.638
26,5,0.065,0.410,0.001,0.945,38.892,68.105
27,6,0.063,0.418,0.000,0.955,46.135,79.979
28,17,0.134,0.357,0.025,0.905,120.905,199.054
29,42,0.326,0.334,0.018,0.883,269.165,492.410
