Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,31,0.473,0.003,0.019,1.001,7.533,196.572
1,15,0.485,0.001,0.003,0.947,3.283,71.039
2,26,0.463,0.004,0.017,0.896,5.800,145.452
3,24,0.545,0.001,0.006,1.021,5.112,143.470
4,19,0.496,0.000,0.004,0.925,4.328,91.558
5,41,0.459,0.006,0.028,0.857,11.239,281.818
6,16,0.517,0.000,0.001,0.852,3.681,77.662
7,38,0.468,0.008,0.023,0.892,8.618,258.667
8,44,0.478,0.008,0.025,0.984,8.927,309.966
9,32,0.505,0.001,0.005,0.860,8.285,179.854
10,14,0.468,0.010,0.068,1.088,2.832,72.566
11,25,0.483,0.003,0.041,0.954,5.124,139.506
12,58,0.434,0.023,0.109,0.998,14.447,520.318
13,58,0.468,0.008,0.042,0.983,15.068,495.221
14,47,0.458,0.017,0.067,0.920,10.266,405.857
15,22,0.493,0.002,0.011,0.998,4.382,118.566
16,23,0.448,0.004,0.017,0.861,5.611,127.598
17,44,0.450,0.006,0.031,0.861,10.403,302.572
18,41,0.435,0.013,0.079,0.985,8.830,305.290
19,20,0.505,0.002,0.021,0.919,4.411,98.186
20,51,0.417,0.014,0.047,1.022,12.189,399.325
21,71,0.455,0.011,0.055,0.987,19.871,669.818
22,20,0.454,0.001,0.004,1.137,4.303,99.623
23,28,0.480,0.001,0.004,0.878,5.998,146.631
24,22,0.489,0.002,0.013,1.057,4.801,116.376
25,12,0.563,0.001,0.002,0.963,2.584,54.995
26,27,0.507,0.002,0.012,0.961,6.309,145.688
27,42,0.478,0.002,0.008,0.843,11.519,285.743
28,26,0.507,0.003,0.025,0.856,5.732,156.084
29,32,0.498,0.004,0.014,1.006,6.411,213.390
