Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,43,0.4464,0.0173,0.1145,0.5005,38.1828,236.6046
1,34,0.4318,0.0113,0.0469,0.2773,28.2170,168.8681
2,34,0.4703,0.0090,0.0339,0.3341,29.5239,172.0861
3,43,0.4014,0.0153,0.0518,0.2879,38.5372,233.7387
4,25,0.4341,0.0120,0.0301,0.3603,16.6587,107.1786
5,51,0.4374,0.0134,0.0516,0.5333,55.3379,311.6174
6,29,0.4738,0.0090,0.0432,0.3606,20.5212,134.9092
7,32,0.3998,0.0154,0.0500,0.3594,25.0032,159.5553
8,56,0.4580,0.0096,0.0354,0.5133,59.8056,345.5168
9,54,0.4259,0.0126,0.0448,0.4192,56.6985,326.7768
10,32,0.4316,0.0162,0.0745,0.4259,26.9094,156.2996
11,42,0.4702,0.0145,0.0652,0.5058,39.8672,232.9020
12,47,0.4475,0.0086,0.0338,0.5647,44.6368,262.4031
13,32,0.4326,0.0103,0.0351,0.3841,26.5204,155.9032
14,38,0.4431,0.0107,0.0438,0.3933,32.8136,193.3271
15,29,0.4394,0.0130,0.0468,0.4624,23.5176,135.3127
16,21,0.4800,0.0104,0.0497,0.2660,16.6410,93.6727
17,56,0.4523,0.0128,0.0626,0.5315,60.7196,348.1018
18,20,0.4542,0.0105,0.0353,0.3626,13.7715,84.1250
19,32,0.4498,0.0096,0.0271,0.5687,24.0900,151.1760
20,43,0.4702,0.0112,0.0419,0.5139,36.9116,233.5543
21,23,0.4623,0.0138,0.0465,0.2677,16.7933,103.5062
22,32,0.4415,0.0202,0.0719,0.3456,25.7281,155.2179
23,43,0.4395,0.0148,0.0692,0.3717,39.9341,238.0654
24,20,0.4640,0.0151,0.0541,0.1774,13.2812,83.8552
25,47,0.4466,0.0156,0.0635,0.4633,46.6814,266.7902
26,38,0.4951,0.0112,0.0601,0.6041,32.8312,196.6326
27,48,0.4653,0.0140,0.0336,0.6309,47.7014,285.2731
28,54,0.4341,0.0170,0.0446,0.5916,55.3188,333.0877
29,17,0.4229,0.0133,0.0458,0.2705,10.3007,68.1669
