Method,Space Utilization,Occupancy,Decision Time,Local Stability,Static Stability
HeightmapMin,0.398,0.965,0.817,0.026,0.347
PCT,0.392,0.942,0.617,0.01,0.386
DBL,0.385,0.947,0.632,0.009,0.4
TAPNet++,0.379,0.948,0.809,0.006,0.415
LSAH,0.373,0.943,0.005,0.008,0.41
PackE,0.353,0.965,0.105,0.013,0.41
AR2L,0.229,0.958,1.523,0.006,0.428
BR,0.222,0.927,0.005,0.011,0.381
CDRL,0.21,0.888,2.716,0.013,0.426
SDFPack,0.15,0.918,7.537,0.009,0.404
OnlineBPH,0.116,0.941,0.001,0.007,0.407
MACS,0.07,0.911,1.244,0.019,0.401
