Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,7,0.269,2.200,0.042,0.213,0.833,1.278,32.800
1,4,0.307,2.038,0.026,0.052,0.845,0.896,20.025
2,6,0.305,2.397,0.023,0.087,0.838,1.128,28.948
3,6,0.278,2.300,0.054,0.112,0.724,1.062,29.866
4,5,0.157,2.578,0.031,0.084,0.646,0.925,45.758
5,4,0.304,2.378,0.041,0.115,0.867,0.874,19.377
6,5,0.255,1.921,0.006,0.013,0.852,1.024,23.842
7,4,0.435,2.353,0.001,0.002,0.958,0.928,20.595
8,10,0.160,2.651,0.034,0.063,0.676,1.523,47.600
9,8,0.271,2.176,0.030,0.067,0.782,1.267,35.350
10,9,0.104,2.771,0.054,0.130,0.677,1.448,70.487
11,6,0.370,2.428,0.019,0.052,0.856,1.114,28.264
12,4,0.454,1.837,0.064,0.128,0.923,0.832,21.226
13,6,0.111,3.038,0.063,0.107,0.650,1.109,31.811
14,5,0.306,2.314,0.045,0.158,0.841,0.978,25.920
15,5,0.282,1.776,0.090,0.211,0.707,0.961,25.258
16,6,0.128,5.054,0.171,0.281,0.693,1.041,58.798
17,5,0.367,2.360,0.073,0.196,0.931,1.037,24.308
18,9,0.112,2.751,0.058,0.111,0.654,1.384,44.202
19,4,0.339,2.057,0.001,0.002,0.880,0.898,18.376
20,5,0.346,2.476,0.006,0.024,0.909,1.030,24.668
21,6,0.415,2.020,0.010,0.019,0.853,1.165,26.873
22,6,0.418,2.945,0.009,0.017,0.793,1.100,28.662
23,3,0.340,2.876,0.015,0.043,0.867,0.710,16.384
24,5,0.377,2.827,0.209,0.522,0.860,0.997,23.730
25,12,0.165,2.462,0.041,0.075,0.620,1.709,58.089
26,6,0.249,2.255,0.010,0.017,0.818,1.093,28.902
27,7,0.212,2.784,0.047,0.105,0.753,1.244,35.931
28,7,0.374,3.007,0.047,0.073,0.857,1.197,34.112
29,6,0.423,2.775,0.088,0.154,0.783,1.059,30.706
