Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,9,0.165,4.139,0.060,3.000,0.000,0.750,0.024,54.651
1,6,0.296,3.545,0.075,2.000,0.000,0.703,0.011,38.566
2,8,0.368,4.134,0.077,2.000,0.000,0.775,0.014,45.889
3,6,0.254,3.615,0.065,2.000,0.000,0.685,0.008,34.604
4,6,0.121,4.153,0.295,3.000,0.000,0.688,0.009,46.869
5,12,0.120,2.842,0.069,3.000,0.000,0.666,0.021,65.748
6,9,0.376,2.622,0.137,3.000,0.000,0.922,0.020,60.655
7,11,0.357,3.705,0.340,2.000,0.000,0.876,0.028,79.179
8,6,0.427,3.987,0.052,2.000,0.000,0.760,0.008,35.947
9,6,0.254,3.651,0.062,1.000,0.000,0.745,0.010,44.664
10,8,0.159,3.370,0.025,1.000,0.000,0.678,0.018,44.998
11,4,0.434,4.280,0.048,2.000,0.000,0.859,0.005,26.729
12,7,0.287,3.129,0.093,3.000,0.000,0.776,0.013,44.502
13,6,0.339,3.522,0.022,1.000,0.000,0.799,0.011,35.582
14,4,0.388,3.051,0.011,1.000,0.000,0.882,0.005,26.600
15,7,0.316,3.944,0.492,4.000,0.000,0.720,0.010,52.144
16,6,0.190,2.849,0.076,4.000,0.000,0.761,0.008,37.142
17,5,0.496,3.471,0.040,1.000,0.000,0.990,0.009,32.530
18,7,0.209,3.745,0.098,3.000,0.000,0.745,0.013,39.671
19,5,0.309,3.378,0.020,1.000,0.000,0.752,0.007,30.046
20,8,0.357,3.441,0.116,6.000,0.000,0.773,0.017,49.287
21,8,0.291,3.031,0.053,1.000,0.000,0.862,0.019,47.949
22,5,0.357,5.149,0.074,4.000,0.000,0.755,0.006,35.373
23,7,0.331,3.388,0.114,4.000,0.000,0.752,0.013,51.594
24,6,0.295,3.316,0.265,2.000,0.000,0.799,0.013,44.896
25,8,0.251,3.073,0.075,1.000,0.000,0.684,0.016,44.661
26,7,0.286,4.599,0.318,3.000,0.000,0.753,0.013,53.034
27,7,0.287,4.293,0.211,4.000,0.000,0.808,0.014,52.295
28,7,0.263,3.906,0.050,1.000,1.000,0.675,0.011,52.008
29,6,0.444,3.944,0.056,3.000,0.000,0.846,0.008,34.729
