Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,12,0.197,2.558,0.019,0.158,0.752,1.106,76.528
1,17,0.283,3.256,0.046,0.105,0.821,1.450,90.573
2,17,0.270,2.631,0.086,1.130,0.804,1.403,89.471
3,17,0.193,2.854,0.038,0.112,0.660,1.313,120.133
4,20,0.243,3.033,0.046,0.094,0.759,1.271,118.169
5,17,0.306,2.901,0.059,0.154,0.764,1.066,96.431
6,21,0.271,2.548,0.033,0.073,0.795,1.380,114.368
7,20,0.305,2.398,0.048,0.149,0.834,1.513,108.790
8,8,0.265,2.602,0.033,0.087,0.755,0.792,39.573
9,12,0.194,2.714,0.031,0.081,0.661,1.046,60.811
10,16,0.229,2.760,0.041,0.088,0.750,1.132,122.398
11,16,0.331,2.483,0.036,0.141,0.832,1.045,80.430
12,8,0.401,3.897,0.009,0.027,0.835,0.726,65.859
13,19,0.178,3.129,0.033,0.089,0.798,1.195,103.376
14,14,0.243,2.350,0.033,0.091,0.778,0.950,73.351
15,13,0.387,2.552,0.030,0.088,0.916,0.911,64.797
16,10,0.093,3.377,0.046,0.110,0.569,0.767,50.312
17,17,0.349,3.661,0.046,0.089,0.849,1.056,94.451
18,14,0.223,2.715,0.043,0.107,0.742,0.917,72.757
19,12,0.243,2.368,0.050,0.119,0.622,0.854,58.012
20,13,0.258,2.915,0.049,0.120,0.758,0.891,99.762
21,19,0.402,2.778,0.041,0.094,0.848,1.143,131.447
22,17,0.234,2.718,0.054,0.106,0.723,0.933,131.086
23,15,0.315,4.641,0.031,0.084,0.881,1.015,85.624
24,19,0.236,2.990,0.045,0.108,0.658,1.210,138.486
25,12,0.270,2.044,0.192,0.407,0.809,0.828,73.995
26,18,0.298,3.569,0.059,0.140,0.813,1.022,118.881
27,21,0.310,2.717,0.044,0.116,0.819,1.270,123.840
28,19,0.261,2.735,0.024,0.073,0.831,1.095,127.425
29,8,0.434,3.566,0.048,0.118,0.785,0.676,38.516
