Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,20,0.287,0.356,3.802,0.039,1.000,0.000,0.879,17.470,148.982
1,19,0.302,0.311,2.853,0.043,2.000,0.000,0.887,16.760,127.698
2,16,0.296,0.198,3.336,0.058,3.000,0.000,0.832,11.299,103.601
3,12,0.249,0.318,3.634,0.061,2.000,1.000,0.773,6.618,93.225
4,17,0.300,0.189,3.100,0.043,1.000,1.000,0.762,11.205,129.322
5,14,0.282,0.271,2.977,0.034,1.000,0.000,0.830,7.596,82.780
6,22,0.426,0.256,2.902,0.041,1.000,0.000,0.886,16.621,152.363
7,26,0.431,0.269,3.211,0.050,2.000,1.000,0.856,22.756,193.913
8,14,0.238,0.387,3.502,0.164,9.000,0.000,0.768,8.817,111.344
9,18,0.308,0.232,3.419,0.045,1.000,0.000,0.793,12.424,126.670
10,16,0.287,0.344,3.132,0.034,1.000,1.000,0.849,10.760,121.034
11,18,0.297,0.238,3.306,0.024,1.000,0.000,0.812,15.721,126.194
12,18,0.344,0.211,3.127,0.030,1.000,0.000,0.849,12.391,122.082
13,19,0.294,0.208,3.160,0.053,2.000,0.000,0.790,15.464,128.277
14,20,0.360,0.290,3.120,0.047,2.000,1.000,0.850,15.119,138.268
15,18,0.344,0.165,3.227,0.055,4.000,0.000,0.801,13.267,135.975
16,8,0.169,0.215,3.808,0.044,2.000,0.000,0.766,3.231,54.727
17,19,0.291,0.322,3.586,0.034,1.000,0.000,0.895,16.203,136.028
18,23,0.404,0.145,2.764,0.057,2.000,1.000,0.760,16.843,175.337
19,18,0.326,0.176,3.224,0.035,2.000,1.000,0.770,13.722,138.873
20,14,0.296,0.254,2.602,0.047,1.000,0.000,0.885,6.820,89.270
21,21,0.369,0.231,2.895,0.060,5.000,1.000,0.875,16.344,169.269
22,14,0.261,0.289,2.786,0.033,1.000,1.000,0.834,9.588,110.948
23,19,0.317,0.250,3.031,0.052,1.000,0.000,0.867,15.663,132.713
24,14,0.193,0.305,3.364,0.022,1.000,0.000,0.842,9.773,89.860
25,17,0.299,0.213,3.518,0.028,1.000,0.000,0.795,10.591,118.099
26,21,0.406,0.254,3.323,0.053,1.000,1.000,0.823,13.538,170.248
27,22,0.357,0.315,2.930,0.053,2.000,0.000,0.881,20.952,162.254
28,17,0.311,0.335,3.147,0.068,2.000,1.000,0.836,12.648,147.478
29,11,0.211,0.327,4.002,0.051,2.000,0.000,0.737,7.091,70.545
