Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,22,0.166,3.528,0.039,2.000,0.000,0.739,0.060,139.077
1,7,0.387,2.768,0.030,1.000,0.000,0.682,0.013,52.773
2,6,0.416,2.904,0.041,1.000,0.000,0.862,0.010,45.091
3,6,0.331,2.957,0.049,1.000,0.000,0.686,0.007,36.093
4,11,0.108,2.961,0.042,1.000,1.000,0.661,0.019,77.201
5,12,0.210,2.528,0.064,4.000,0.000,0.753,0.018,65.326
6,9,0.439,3.246,0.031,1.000,0.000,0.962,0.017,62.277
7,23,0.222,3.182,0.054,1.000,1.000,0.754,0.064,178.079
8,10,0.388,2.696,0.084,5.000,0.000,0.748,0.018,57.608
9,12,0.126,3.106,0.037,1.000,0.000,0.624,0.019,65.266
10,7,0.345,4.126,0.110,2.000,1.000,0.811,0.012,63.754
11,4,0.429,3.132,0.036,1.000,0.000,0.859,0.004,34.775
12,17,0.194,2.472,0.043,4.000,0.000,0.798,0.030,102.181
13,8,0.390,3.087,0.039,1.000,1.000,0.856,0.016,56.052
14,9,0.307,2.836,0.042,1.000,1.000,0.807,0.012,58.166
15,5,0.197,3.170,0.101,3.000,0.000,0.737,0.005,41.129
16,8,0.136,3.180,0.200,7.000,0.000,0.716,0.009,60.939
17,8,0.398,3.009,0.081,1.000,0.000,0.952,0.014,44.605
18,8,0.142,2.762,0.147,4.000,0.000,0.740,0.016,58.917
19,15,0.127,3.257,0.044,1.000,1.000,0.635,0.030,108.113
20,9,0.331,2.727,0.061,2.000,0.000,0.859,0.013,49.154
21,8,0.272,3.079,0.064,3.000,0.000,0.871,0.015,56.993
22,5,0.358,4.065,0.133,4.000,0.000,0.755,0.005,43.066
23,11,0.235,3.595,0.037,1.000,2.000,0.730,0.017,87.856
24,24,0.310,2.758,0.055,4.000,0.000,0.849,0.085,149.401
25,18,0.227,3.384,0.059,1.000,0.000,0.626,0.040,110.269
26,18,0.227,2.756,0.043,1.000,0.000,0.822,0.033,127.095
27,6,0.462,3.115,0.029,1.000,0.000,0.895,0.011,35.493
28,6,0.195,4.019,0.066,2.000,0.000,0.699,0.006,46.977
29,6,0.473,2.456,0.062,1.000,0.000,0.845,0.011,35.778
