Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,5,0.259,4.025,0.048,2.000,0.000,0.785,9.224,51.806
1,8,0.151,4.162,0.070,1.000,0.000,0.641,46.600,101.805
2,5,0.366,3.424,0.014,1.000,0.000,0.882,8.884,44.688
3,7,0.226,3.726,0.042,1.000,0.000,0.643,26.595,78.668
4,9,0.100,3.390,0.067,2.000,0.000,0.649,75.036,158.415
5,7,0.208,3.691,0.030,1.000,0.000,0.743,31.490,93.243
6,4,0.408,4.161,0.014,1.000,0.000,0.923,4.782,40.146
7,5,0.404,3.908,0.084,3.000,0.000,0.892,14.916,50.675
8,7,0.422,3.562,0.039,1.000,0.000,0.736,28.234,79.172
9,8,0.212,3.903,0.052,2.000,0.000,0.702,44.837,110.184
10,4,0.190,3.846,0.022,1.000,0.000,0.834,5.569,38.279
11,7,0.277,4.276,0.056,2.000,0.000,0.708,35.388,85.897
12,7,0.240,2.818,0.086,1.000,0.000,0.776,29.214,89.635
13,6,0.282,4.011,0.045,2.000,0.000,0.781,14.950,57.240
14,11,0.131,3.238,0.075,1.000,0.000,0.587,115.488,184.637
15,6,0.306,4.965,0.063,1.000,0.000,0.728,16.741,65.312
16,6,0.196,3.658,0.056,1.000,0.000,0.761,12.000,57.692
17,4,0.421,4.422,0.007,1.000,0.000,0.957,4.874,39.011
18,7,0.217,3.047,0.077,2.000,0.000,0.745,48.888,105.787
19,8,0.143,3.635,0.049,1.000,0.000,0.639,40.818,92.797
20,5,0.444,4.021,0.054,2.000,0.000,0.885,16.329,62.219
21,6,0.236,3.599,0.051,1.000,0.000,0.869,29.514,81.066
22,5,0.358,4.350,0.063,2.000,0.000,0.755,7.819,49.180
23,9,0.258,4.117,0.099,2.000,0.000,0.676,69.703,135.614
24,8,0.205,4.013,0.049,1.000,0.000,0.648,53.694,126.249
25,7,0.298,3.689,0.059,2.000,0.000,0.700,17.169,68.431
26,9,0.204,3.174,0.059,1.000,0.000,0.671,48.079,104.549
27,6,0.308,4.091,0.064,2.000,0.000,0.780,19.020,78.989
28,7,0.322,3.826,0.065,2.000,0.000,0.678,36.189,103.585
29,9,0.330,3.500,0.110,6.000,0.000,0.713,39.189,113.387
