Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,17,0.201,2.797,0.027,1.000,1.000,0.706,0.030,123.037
1,17,0.132,2.542,0.071,2.000,0.000,0.644,0.026,103.783
2,12,0.349,3.374,0.027,1.000,0.000,0.889,0.017,68.095
3,12,0.213,3.214,0.048,4.000,0.000,0.767,0.013,66.810
4,9,0.132,3.707,0.056,1.000,0.000,0.717,0.013,51.597
5,15,0.223,2.389,0.058,1.000,0.000,0.721,0.016,88.982
6,21,0.260,3.413,0.019,0.000,0.000,0.814,0.030,124.603
7,10,0.328,2.824,0.018,1.000,0.000,0.785,0.015,54.270
8,12,0.409,4.335,0.060,1.000,1.000,0.777,0.013,74.759
9,13,0.279,3.209,0.054,1.000,0.000,0.752,0.019,74.435
10,14,0.165,2.622,0.098,8.000,0.000,0.677,0.020,80.126
11,11,0.213,2.931,0.037,1.000,0.000,0.768,0.015,59.577
12,13,0.214,2.440,0.062,5.000,1.000,0.805,0.019,86.766
13,12,0.168,3.221,0.041,4.000,0.000,0.709,0.017,66.310
14,18,0.312,3.065,0.051,1.000,0.000,0.803,0.027,111.378
15,15,0.111,2.634,0.048,2.000,0.000,0.733,0.020,85.840
16,8,0.203,2.706,0.008,1.000,0.000,0.765,0.008,45.428
17,17,0.238,3.161,0.051,4.000,0.000,0.775,0.027,100.060
18,12,0.143,3.330,0.013,1.000,0.000,0.696,0.019,66.547
19,12,0.276,2.807,0.009,1.000,0.000,0.820,0.017,67.043
20,12,0.277,2.751,0.056,2.000,1.000,0.784,0.013,80.502
21,11,0.305,2.901,0.024,1.000,0.000,0.942,0.017,81.604
22,9,0.202,2.726,0.062,3.000,1.000,0.664,0.009,52.210
23,16,0.278,3.258,0.054,5.000,0.000,0.869,0.031,92.575
24,13,0.216,2.477,0.035,2.000,0.000,0.701,0.019,68.334
25,16,0.211,2.808,0.049,1.000,1.000,0.697,0.021,107.782
26,16,0.161,3.044,0.036,1.000,1.000,0.723,0.020,115.014
27,23,0.205,2.538,0.047,1.000,0.000,0.839,0.043,151.155
28,13,0.155,3.118,0.060,1.000,1.000,0.645,0.018,76.170
29,10,0.450,3.270,0.035,1.000,0.000,0.755,0.011,56.964
