Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,23,0.300,2.234,0.040,0.133,0.833,0.253,130.625
1,17,0.365,2.509,0.028,0.103,0.800,0.165,84.004
2,20,0.371,2.162,0.055,0.127,0.842,0.188,100.459
3,12,0.347,1.994,0.027,0.083,0.900,0.103,54.669
4,16,0.352,2.334,0.025,0.082,0.714,0.157,75.634
5,14,0.343,2.442,0.026,0.082,0.750,0.107,65.779
6,15,0.371,2.857,0.022,0.056,0.857,0.117,73.753
7,19,0.316,3.660,0.048,0.099,0.814,0.180,100.301
8,18,0.328,2.055,0.024,0.079,0.851,0.151,86.403
9,19,0.336,2.304,0.031,0.120,0.883,0.183,96.162
10,18,0.306,2.614,0.037,0.121,0.849,0.225,91.002
11,18,0.359,2.194,0.077,0.416,0.812,0.133,90.037
12,17,0.335,2.031,0.023,0.079,0.830,0.176,83.648
13,19,0.285,2.160,0.033,0.092,0.854,0.218,100.267
14,11,0.318,2.482,0.033,0.048,0.712,0.119,51.739
15,21,0.336,2.465,0.041,0.123,0.840,0.207,109.847
16,13,0.284,2.219,0.035,0.106,0.587,0.105,60.174
17,14,0.362,2.151,0.035,0.106,0.828,0.076,64.285
18,19,0.318,2.332,0.041,0.121,0.788,0.140,98.330
19,11,0.366,2.166,0.038,0.088,0.891,0.078,48.219
20,10,0.353,1.957,0.038,0.097,0.829,0.087,45.550
21,18,0.349,2.822,0.028,0.100,0.801,0.193,91.140
22,13,0.284,2.476,0.039,0.082,0.696,0.062,62.305
23,14,0.324,2.868,0.019,0.138,0.834,0.127,66.724
24,17,0.275,2.289,0.040,0.114,0.867,0.160,82.143
25,24,0.316,2.529,0.035,0.110,0.830,0.252,131.698
26,23,0.364,2.253,0.043,0.140,0.861,0.361,121.087
27,20,0.264,2.918,0.056,0.194,0.815,0.234,105.271
28,10,0.295,2.775,0.036,0.104,0.798,0.059,47.905
29,21,0.333,2.457,0.043,0.158,0.824,0.169,108.920
