Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,10,0.311,2.153,0.048,3.000,0.000,0.740,1.696,91.738
1,8,0.184,1.521,0.071,2.000,0.000,0.607,1.500,87.828
2,10,0.243,1.862,0.036,1.000,1.000,0.692,1.678,112.931
3,9,0.178,2.290,0.064,1.000,1.000,0.563,1.537,111.588
4,8,0.073,1.730,0.051,3.000,0.000,0.632,1.385,87.588
5,8,0.203,1.581,0.063,1.000,0.000,0.733,1.541,72.786
6,9,0.161,1.514,0.058,2.000,2.000,0.660,1.679,105.469
7,5,0.390,1.226,0.356,5.000,0.000,0.894,1.304,68.977
8,5,0.333,2.458,0.023,1.000,0.000,0.741,1.038,53.381
9,8,0.172,1.644,0.053,1.000,0.000,0.731,1.367,84.318
10,6,0.340,2.582,0.067,3.000,1.000,0.790,1.106,77.666
11,7,0.274,1.637,0.067,2.000,0.000,0.707,1.462,82.261
12,10,0.129,1.514,0.045,0.000,0.000,0.744,1.508,85.635
13,8,0.099,2.365,0.088,1.000,0.000,0.590,1.341,85.971
14,8,0.182,1.591,0.033,1.000,0.000,0.618,1.489,87.518
15,8,0.080,1.875,0.042,1.000,1.000,0.603,1.659,84.259
16,9,0.093,1.861,0.069,3.000,0.000,0.610,1.495,83.591
17,10,0.250,1.985,0.093,3.000,1.000,0.798,1.837,110.426
18,8,0.086,2.800,0.057,1.000,0.000,0.661,1.310,87.862
19,8,0.192,1.468,0.128,3.000,1.000,0.605,1.513,98.309
20,10,0.146,2.628,0.058,2.000,1.000,0.728,1.538,117.241
21,7,0.437,1.403,0.053,2.000,0.000,0.898,1.262,70.076
22,12,0.215,1.869,0.028,0.000,2.000,0.645,1.723,122.649
23,8,0.165,1.752,0.041,1.000,1.000,0.624,1.588,89.365
24,11,0.197,2.270,0.065,2.000,0.000,0.604,1.724,122.273
25,12,0.184,2.000,0.050,0.000,0.000,0.696,1.697,106.691
26,8,0.230,2.147,0.027,1.000,1.000,0.712,1.504,91.382
27,8,0.273,1.522,0.063,1.000,0.000,0.780,1.765,77.445
28,8,0.264,1.948,0.049,2.000,0.000,0.816,1.792,71.880
29,5,0.399,2.269,0.035,1.000,0.000,0.743,1.561,58.640
