Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,7,0.275,2.715,0.013,1.000,0.000,0.814,7.020,47.672
1,8,0.145,2.810,0.031,2.000,0.000,0.647,7.392,51.565
2,8,0.179,2.886,0.062,1.000,0.000,0.645,6.212,55.968
3,9,0.200,2.831,0.081,3.000,1.000,0.612,7.061,72.034
4,6,0.295,2.291,0.024,2.000,0.000,0.828,3.413,40.490
5,8,0.172,2.994,0.111,7.000,0.000,0.671,6.920,56.992
6,3,0.408,2.725,0.008,1.000,0.000,0.870,1.947,24.886
7,6,0.372,2.899,0.016,1.000,0.000,0.838,4.936,42.061
8,7,0.207,2.527,0.039,2.000,0.000,0.599,5.771,46.666
9,7,0.152,2.860,0.068,1.000,0.000,0.673,5.862,53.037
10,10,0.139,2.337,0.048,1.000,1.000,0.629,7.758,66.542
11,6,0.086,2.873,0.042,1.000,0.000,0.589,4.426,41.730
12,3,0.434,2.264,0.001,1.000,0.000,0.939,1.235,24.855
13,7,0.094,3.127,0.061,1.000,0.000,0.630,5.772,47.300
14,10,0.109,2.502,0.032,2.000,0.000,0.554,8.807,65.691
15,5,0.174,1.766,0.039,1.000,0.000,0.686,3.096,33.667
16,9,0.140,3.403,0.053,1.000,0.000,0.702,6.112,63.135
17,4,0.211,2.705,0.054,2.000,0.000,0.773,3.361,32.873
18,9,0.384,2.666,0.066,5.000,0.000,0.641,6.672,58.800
19,6,0.131,2.370,0.033,1.000,0.000,0.621,5.727,40.875
20,6,0.379,2.253,0.065,2.000,0.000,0.814,4.955,40.429
21,8,0.141,2.990,0.067,1.000,0.000,0.657,6.985,56.049
22,5,0.209,2.622,0.020,1.000,0.000,0.705,2.753,37.023
23,10,0.139,3.041,0.044,2.000,1.000,0.579,8.019,76.951
24,5,0.401,2.802,0.002,1.000,0.000,0.740,4.000,37.072
25,10,0.197,3.151,0.067,4.000,0.000,0.676,7.307,63.814
26,11,0.237,2.669,0.066,3.000,1.000,0.662,7.809,85.492
27,7,0.253,3.642,0.054,2.000,1.000,0.706,5.766,59.618
28,4,0.289,1.771,0.021,1.000,0.000,0.710,1.937,29.945
29,6,0.217,4.022,0.049,1.000,0.000,0.642,4.595,46.731
