Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,5,0.295,3.902,0.056,1.000,0.000,0.785,86.776,125.029
1,6,0.304,3.940,0.093,1.000,0.000,0.703,95.669,152.972
2,8,0.363,3.186,0.089,2.000,0.000,0.775,107.818,174.877
3,6,0.255,3.439,0.089,3.000,0.000,0.685,94.872,131.465
4,8,0.109,3.524,0.070,4.000,0.000,0.663,107.285,160.705
5,10,0.231,3.993,0.056,1.000,0.000,0.690,151.738,211.561
6,4,0.400,3.744,0.025,1.000,0.000,0.923,71.923,117.659
7,7,0.411,4.240,0.088,4.000,0.000,0.812,123.647,186.578
8,6,0.420,3.388,0.058,2.000,0.000,0.760,75.425,120.047
9,7,0.235,3.533,0.058,2.000,0.000,0.723,86.594,147.304
10,5,0.153,3.792,0.034,1.000,0.000,0.796,83.406,121.105
11,4,0.430,3.710,0.043,2.000,0.000,0.859,66.421,100.302
12,10,0.191,3.403,0.546,8.000,0.000,0.722,141.429,201.023
13,8,0.302,3.108,0.080,4.000,0.000,0.748,101.237,147.793
14,4,0.391,3.238,0.008,1.000,0.000,0.882,63.751,104.976
15,8,0.323,3.353,0.134,6.000,0.000,0.704,109.827,174.931
16,8,0.150,2.665,0.111,4.000,0.000,0.701,67.589,131.658
17,6,0.461,3.438,0.088,2.000,0.000,0.979,91.066,153.672
18,8,0.240,3.258,0.102,4.000,0.000,0.738,99.162,162.451
19,7,0.244,3.077,0.066,1.000,0.000,0.672,93.751,154.442
20,7,0.394,3.428,0.035,1.000,0.000,0.799,96.151,161.484
21,6,0.415,4.483,0.070,1.000,0.000,0.908,106.906,164.172
22,6,0.298,3.729,0.083,4.000,0.000,0.717,84.225,144.064
23,7,0.323,3.473,0.032,1.000,0.000,0.749,95.240,140.055
24,9,0.257,3.913,0.066,1.000,1.000,0.689,127.115,211.999
25,8,0.263,4.302,0.086,3.000,0.000,0.693,94.340,164.486
26,7,0.287,3.241,0.065,4.000,0.000,0.753,101.854,144.692
27,7,0.287,3.304,0.026,1.000,0.000,0.808,97.997,156.653
28,6,0.317,4.882,0.086,1.000,0.000,0.691,88.611,148.159
29,9,0.323,3.099,0.128,6.000,0.000,0.713,91.633,166.118
