Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,26,0.407,0.331,3.015,0.033,1.000,0.000,0.809,2.270,173.310
1,10,0.179,0.392,3.749,0.006,1.000,0.000,0.836,0.950,61.499
2,19,0.364,0.184,3.036,0.090,8.000,0.000,0.761,1.795,122.596
3,12,0.249,0.384,2.994,0.038,1.000,0.000,0.806,1.009,73.238
4,17,0.300,0.238,3.165,0.056,1.000,0.000,0.820,1.443,104.887
5,13,0.262,0.216,3.825,0.057,1.000,0.000,0.788,1.174,82.447
6,16,0.285,0.283,2.881,0.033,1.000,0.000,0.890,1.543,95.266
7,21,0.352,0.258,2.583,0.028,1.000,0.000,0.821,1.990,127.216
8,11,0.181,0.385,3.269,0.047,1.000,1.000,0.749,1.027,76.863
9,13,0.220,0.343,3.269,0.025,1.000,0.000,0.903,1.303,74.610
10,17,0.319,0.325,3.065,0.040,1.000,1.000,0.848,1.453,125.704
11,10,0.189,0.342,2.630,0.048,1.000,0.000,0.843,1.062,70.630
12,15,0.268,0.244,2.615,0.020,1.000,0.000,0.845,1.301,85.101
13,22,0.366,0.256,2.910,0.030,1.000,0.000,0.868,1.893,138.075
14,16,0.286,0.281,3.290,0.065,1.000,0.000,0.850,1.364,101.168
15,10,0.212,0.193,3.208,0.016,1.000,0.000,0.809,1.027,56.069
16,6,0.126,0.208,3.734,0.046,1.000,1.000,0.836,0.673,40.991
17,25,0.423,0.213,3.032,0.040,1.000,0.000,0.827,2.124,161.250
18,14,0.274,0.141,2.962,0.073,1.000,0.000,0.745,1.397,80.856
19,23,0.431,0.276,2.905,0.058,9.000,0.000,0.768,1.949,144.640
20,17,0.348,0.327,2.787,0.056,5.000,0.000,0.841,1.408,103.864
21,22,0.392,0.244,2.941,0.037,1.000,0.000,0.844,2.148,140.083
22,11,0.225,0.256,3.511,0.016,1.000,0.000,0.787,0.995,77.934
23,15,0.255,0.271,2.736,0.028,1.000,0.000,0.891,1.665,85.927
24,20,0.284,0.244,3.462,0.066,7.000,0.000,0.785,1.679,129.366
25,20,0.329,0.223,3.359,0.050,2.000,0.000,0.740,2.043,126.447
26,14,0.280,0.316,3.119,0.042,1.000,0.000,0.831,1.342,85.342
27,16,0.261,0.270,2.869,0.043,1.000,0.000,0.831,1.561,99.455
28,13,0.247,0.178,3.662,0.042,1.000,0.000,0.662,1.195,76.855
29,13,0.240,0.339,3.214,0.028,1.000,0.000,0.733,1.075,77.893
