Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,10,0.2356,0.0471,0.0996,0.0848,2.2832,57.6022
1,8,0.3116,0.0550,0.1050,0.0484,1.7827,35.1200
2,19,0.2958,0.0467,0.1188,0.1375,4.7207,111.0986
3,1,0.2774,0.0000,0.0000,0.0137,0.0488,6.0796
4,12,0.3138,0.0280,0.0964,0.0870,2.8560,53.3886
5,12,0.3554,0.0431,0.1019,0.0878,3.0584,64.9257
6,28,0.2466,0.0462,0.1143,0.1954,7.8753,190.7518
7,14,0.2849,0.0527,0.1576,0.1098,3.2337,72.3037
8,7,0.3385,0.0231,0.0681,0.0532,1.7122,31.7480
9,9,0.2453,0.0425,0.0976,0.0787,1.8046,53.8709
10,17,0.3066,0.0556,0.1362,0.1338,4.3576,98.4065
11,15,0.3016,0.0617,0.1369,0.1408,3.3679,78.3578
12,11,0.2913,0.0315,0.0865,0.0853,2.7928,70.7363
13,17,0.2838,0.0319,0.1052,0.1122,4.2099,108.0402
14,7,0.3532,0.0003,0.0009,0.0468,1.4551,41.6757
15,3,0.3577,0.0002,0.0005,0.0106,0.5230,11.8528
16,17,0.3251,0.0423,0.1034,0.1097,4.4711,93.0730
17,14,0.3216,0.0317,0.1325,0.0836,3.9811,85.0847
18,7,0.3144,0.0047,0.0152,0.0540,1.5542,41.4111
19,9,0.2303,0.0414,0.0646,0.0776,2.0356,44.3439
20,18,0.2646,0.0221,0.0516,0.1466,4.1409,102.9178
21,12,0.3836,0.0428,0.1027,0.1169,2.6055,55.9606
22,14,0.3641,0.0479,0.1286,0.1074,3.2018,84.4225
23,10,0.3727,0.0262,0.0717,0.0875,2.2328,53.2670
24,11,0.2415,0.0728,0.1154,0.0831,2.8620,67.7956
25,11,0.3015,0.0315,0.1194,0.0966,2.2899,54.8030
26,17,0.2430,0.0584,0.1035,0.1289,4.8097,117.9858
27,15,0.2962,0.0300,0.0760,0.1048,3.5674,75.9379
28,18,0.2500,0.0331,0.0900,0.1268,5.1970,106.2216
29,19,0.2814,0.0421,0.0886,0.1353,5.4308,105.2164
