Method,Space Utilization,Occupancy,Decision Time,Local Stability,Static Stability,Trajectory Length,Collapsed Placement,Dangerous Operation
DBL,0.308,0.826,0.718,0.049,0.262,3.226,0.119,0.021
TAPNet++,0.285,0.812,0.093,0.042,0.272,3.127,0.113,0.011
PCT,0.255,0.818,0.409,0.039,0.379,3.053,0.139,0.027
CDRL,0.25,0.774,0.279,0.058,0.283,2.916,0.135,0.023
OnlineBPH,0.244,0.758,0.001,0.044,0.234,2.987,0.151,0.021
AR2L,0.227,0.809,1.184,0.055,0.349,2.601,0.188,0.022
HeightmapMin,0.225,0.849,0.93,0.067,0.32,3.361,0.17,0.028
LSAH,0.19,0.778,0.002,0.064,0.285,3.095,0.245,0.025
PackE,0.15,0.699,0.187,0.066,0.216,1.916,0.22,0.049
BR,0.125,0.775,0.002,0.116,0.301,3.642,0.363,0.005
SDFPack,0.123,0.761,14.318,0.086,0.302,3.593,0.36,0.004
MACS,0.12,0.75,4.21,0.056,0.271,3.808,0.252,0.0
