Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,17,0.467,2.169,0.104,6.000,2.000,0.910,23.899,193.473
1,5,0.491,1.779,1.096,5.000,0.000,0.970,7.715,56.635
2,13,0.444,2.066,0.377,5.000,0.000,0.950,17.326,128.500
3,5,0.471,1.907,0.388,6.000,0.000,0.971,7.187,57.892
4,19,0.433,2.102,0.020,2.000,2.000,0.860,27.569,222.845
5,19,0.428,1.925,0.240,4.000,2.000,0.915,29.274,212.214
6,11,0.470,1.882,0.461,7.000,2.000,0.911,15.286,135.216
7,1,0.586,2.136,0.077,1.000,0.000,0.980,1.344,22.518
8,5,0.493,1.778,0.541,4.000,0.000,0.881,6.699,53.945
9,10,0.448,2.109,0.052,2.000,1.000,0.910,13.855,117.986
10,8,0.458,1.889,0.593,6.000,1.000,0.914,11.605,79.690
11,15,0.433,3.861,0.062,2.000,1.000,0.932,21.342,168.656
12,17,0.433,2.205,0.285,7.000,1.000,0.867,27.708,171.062
13,4,0.511,2.032,0.050,2.000,1.000,0.998,6.362,46.144
14,11,0.433,2.549,0.439,7.000,2.000,0.874,16.609,144.329
15,3,0.480,1.772,0.450,3.000,0.000,0.993,4.297,40.197
16,3,0.418,2.245,0.051,1.000,0.000,0.997,4.737,36.816
17,2,0.570,1.882,0.070,1.000,0.000,0.981,2.835,35.524
18,15,0.425,2.131,0.072,3.000,0.000,0.922,24.705,169.836
19,3,0.505,2.156,0.856,3.000,0.000,0.903,5.046,42.641
20,7,0.416,1.952,0.470,5.000,0.000,0.874,11.045,79.514
21,13,0.457,1.994,0.277,9.000,5.000,0.868,21.708,166.430
22,3,0.472,1.981,0.044,1.000,0.000,0.950,5.578,45.447
23,5,0.468,1.923,0.716,5.000,0.000,0.914,6.341,49.328
24,9,0.469,2.606,0.037,2.000,0.000,0.873,14.165,91.164
25,4,0.475,1.873,0.381,3.000,0.000,0.951,5.499,53.205
26,16,0.419,1.917,0.023,1.000,1.000,0.832,24.092,155.755
27,20,0.446,2.075,0.174,5.000,5.000,0.837,28.941,266.007
28,13,0.476,2.211,0.035,2.000,0.000,0.899,20.041,160.397
29,15,0.428,2.158,0.373,9.000,0.000,0.903,18.753,150.459
