Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,2,0.429,3.606,0.000,0.000,0.988,0.660,14.787
1,3,0.468,2.121,0.001,0.001,0.982,0.755,15.157
2,2,0.447,4.387,0.001,0.001,0.939,0.682,16.225
3,2,0.484,2.220,0.000,0.000,0.983,0.652,10.692
4,1,0.562,2.289,0.000,0.000,0.985,0.562,7.997
5,3,0.432,2.036,0.001,0.002,0.881,0.749,16.254
6,2,0.449,2.267,0.000,0.000,0.986,0.694,11.799
7,1,0.486,2.260,0.000,0.000,0.975,0.595,8.067
8,2,0.402,2.756,0.000,0.000,0.974,0.676,12.797
9,1,0.558,2.346,0.000,0.000,0.968,0.582,8.224
10,1,0.380,2.330,0.000,0.000,0.982,0.572,8.075
11,1,0.521,2.233,0.006,0.006,0.977,0.567,8.351
12,2,0.483,2.190,0.000,0.000,0.980,0.661,11.829
13,1,0.359,4.531,0.001,0.001,0.973,0.594,8.477
14,2,0.366,2.260,0.000,0.000,0.989,0.659,11.463
15,1,0.360,2.291,0.000,0.000,0.985,0.566,8.078
16,2,0.480,2.197,0.000,0.000,0.993,0.646,11.568
17,5,0.483,2.746,0.001,0.001,0.948,0.963,23.326
18,1,0.491,4.685,0.001,0.001,0.980,1.318,8.891
19,1,0.423,2.276,0.002,0.002,0.990,0.568,8.297
20,2,0.535,2.206,0.000,0.000,1.000,0.654,11.548
21,2,0.497,2.303,0.001,0.001,0.902,0.648,12.486
22,1,0.593,2.318,0.000,0.000,0.984,0.542,7.824
23,1,0.417,3.539,0.000,0.000,0.988,0.570,11.348
24,2,0.397,2.245,0.000,0.000,0.989,0.649,10.992
25,1,0.593,2.313,0.000,0.000,0.984,0.576,7.961
26,4,0.443,1.816,0.004,0.009,0.936,0.838,46.068
27,2,0.458,2.205,0.000,0.000,0.984,0.689,11.307
28,1,0.473,2.214,0.002,0.002,0.982,0.576,7.984
29,1,0.580,2.277,0.001,0.001,0.984,0.558,11.679
