Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,2,0.439,2.205,0.695,3.000,0.000,0.855,0.005,38.678
1,2,0.576,2.117,0.436,1.000,0.000,0.975,0.008,40.784
2,2,0.435,2.143,0.242,2.000,0.000,0.871,0.005,36.600
3,3,0.469,2.110,0.013,1.000,0.000,0.978,0.013,44.152
4,5,0.489,2.099,0.039,1.000,1.000,0.869,0.042,68.053
5,2,0.507,2.081,0.138,2.000,0.000,0.981,0.013,39.601
6,3,0.502,2.154,0.604,2.000,1.000,0.956,0.014,55.489
7,2,0.484,2.149,0.361,3.000,0.000,0.982,0.007,34.697
8,2,0.530,2.204,0.054,1.000,0.000,0.969,0.005,39.549
9,4,0.322,2.079,1.090,4.000,1.000,0.831,0.019,64.403
10,2,0.443,2.099,0.409,1.000,0.000,0.974,0.004,36.406
11,3,0.339,2.071,0.792,2.000,1.000,0.998,0.013,47.397
12,4,0.330,2.158,0.591,3.000,1.000,0.910,0.017,57.217
13,2,0.543,2.134,0.636,3.000,0.000,1.000,0.005,34.511
14,3,0.407,2.173,0.375,4.000,0.000,0.902,0.012,37.008
15,2,0.516,2.152,0.175,2.000,0.000,0.962,0.004,32.299
16,3,0.393,2.141,0.453,2.000,0.000,0.988,0.013,36.526
17,3,0.374,2.166,0.056,2.000,0.000,0.982,0.014,35.906
18,2,0.393,2.203,0.514,2.000,0.000,0.895,0.006,31.081
19,2,0.507,2.136,0.132,1.000,0.000,0.954,0.005,37.421
20,3,0.444,2.124,0.726,2.000,1.000,0.930,0.012,47.834
21,2,0.521,2.166,0.892,2.000,0.000,0.914,0.007,29.478
22,2,0.466,2.155,0.130,1.000,0.000,0.957,0.006,25.823
23,2,0.435,2.180,0.166,2.000,0.000,0.944,0.004,30.490
24,2,0.502,2.236,0.264,1.000,0.000,0.938,0.006,30.104
25,2,0.500,2.192,0.038,1.000,0.000,0.986,0.008,19.832
26,2,0.488,2.215,0.070,1.000,0.000,1.000,0.008,30.853
27,2,0.480,2.153,0.359,2.000,0.000,0.937,0.006,33.847
28,2,0.511,3.151,0.563,2.000,0.000,0.977,0.006,32.227
29,3,0.395,3.016,0.875,3.000,0.000,0.833,0.011,37.934
