Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,5,0.472,2.638,0.002,1.000,0.000,0.965,1.733,43.620
1,5,0.506,2.103,0.002,1.000,0.000,0.972,1.312,38.278
2,7,0.420,2.094,0.022,1.000,1.000,0.933,1.552,72.848
3,8,0.457,2.147,0.002,1.000,0.000,0.972,1.784,58.467
4,3,0.521,1.875,0.038,1.000,0.000,0.939,1.641,35.241
5,3,0.545,2.459,0.183,3.000,0.000,0.981,1.486,31.108
6,4,0.439,2.075,0.001,1.000,0.000,0.917,1.413,33.148
7,3,0.488,2.216,0.003,1.000,0.000,0.983,1.024,27.224
8,4,0.498,2.099,0.001,1.000,0.000,0.994,1.344,34.820
9,3,0.458,2.059,0.000,1.000,0.000,0.963,1.199,25.277
10,13,0.470,1.887,0.719,9.000,2.000,0.906,2.059,129.979
11,3,0.515,5.975,0.001,1.000,0.000,0.998,1.125,57.434
12,4,0.426,3.430,0.000,1.000,0.000,0.963,1.222,37.614
13,14,0.433,1.866,0.277,4.000,2.000,0.928,2.073,136.571
14,9,0.489,2.244,0.466,3.000,2.000,0.929,1.553,85.702
15,4,0.435,2.485,0.005,1.000,0.000,0.924,1.378,33.044
16,3,0.431,2.030,0.001,1.000,0.000,0.997,1.187,26.843
17,16,0.440,3.044,0.011,1.000,0.000,0.844,2.165,165.255
18,7,0.460,2.115,0.003,1.000,0.000,0.871,1.765,52.801
19,12,0.485,2.227,0.002,0.000,0.000,0.941,2.101,85.775
20,5,0.380,2.072,0.013,1.000,1.000,0.974,1.467,44.954
21,6,0.521,2.218,0.436,3.000,0.000,0.973,1.577,44.522
22,15,0.442,1.941,0.156,3.000,0.000,0.897,2.181,127.964
23,7,0.478,2.522,0.075,2.000,0.000,0.899,1.563,64.882
24,16,0.394,1.955,0.005,1.000,4.000,0.868,2.367,206.553
25,5,0.504,1.960,0.001,1.000,0.000,0.895,1.446,38.061
26,10,0.377,2.135,0.016,2.000,0.000,0.837,1.818,74.088
27,21,0.428,2.013,0.012,1.000,3.000,0.866,2.827,197.348
28,12,0.440,2.021,0.005,1.000,2.000,0.935,2.194,123.371
29,17,0.445,2.510,0.013,1.000,4.000,0.852,2.497,229.495
