Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,5,0.105,0.512,2.127,0.001,1.000,0.000,0.975,2.024,50.002
1,1,0.046,0.564,2.152,0.052,1.000,0.000,0.986,0.126,31.419
2,9,0.180,0.466,2.104,0.041,3.000,0.000,0.964,6.540,101.495
3,4,0.133,0.480,2.166,0.011,1.000,0.000,0.986,2.238,57.296
4,6,0.113,0.500,2.715,0.020,1.000,0.000,0.932,3.476,58.727
5,1,0.063,0.568,2.077,0.064,2.000,0.000,0.982,0.071,32.206
6,9,0.218,0.435,1.915,0.002,1.000,1.000,0.943,5.792,94.545
7,2,0.084,0.558,2.849,0.075,2.000,0.000,0.982,0.692,52.042
8,8,0.206,0.440,2.068,0.002,1.000,1.000,0.987,4.385,86.989
9,7,0.152,0.408,2.357,0.324,3.000,0.000,0.906,3.184,83.503
10,2,0.084,0.498,2.112,0.198,2.000,0.000,0.987,0.644,40.353
11,1,0.070,0.561,3.347,0.063,2.000,0.000,1.000,0.111,32.348
12,8,0.177,0.304,2.292,0.008,1.000,0.000,0.980,4.358,71.511
13,3,0.090,0.495,2.016,0.025,2.000,0.000,0.999,1.407,48.233
14,5,0.133,0.486,2.090,0.000,1.000,0.000,0.959,2.996,47.369
15,17,0.386,0.367,1.927,0.010,1.000,2.000,0.953,14.462,191.977
16,9,0.310,0.378,1.878,0.362,4.000,2.000,0.975,4.967,123.217
17,1,0.058,0.439,2.118,0.115,2.000,0.000,0.981,0.211,37.498
18,13,0.242,0.386,1.985,0.007,1.000,0.000,0.966,11.195,121.582
19,2,0.074,0.524,2.155,0.001,1.000,0.000,0.977,0.539,28.009
20,11,0.274,0.300,1.837,0.008,1.000,3.000,0.945,7.241,147.249
21,9,0.273,0.447,1.990,0.008,1.000,0.000,0.945,4.228,96.168
22,19,0.488,0.392,2.080,0.018,1.000,1.000,0.943,12.475,201.840
23,11,0.325,0.456,1.941,0.025,2.000,2.000,0.961,5.906,122.605
24,9,0.231,0.389,2.152,0.032,3.000,1.000,0.963,4.547,102.869
25,5,0.142,0.523,3.389,0.014,1.000,0.000,0.981,2.512,58.637
26,6,0.152,0.451,2.003,0.029,2.000,0.000,0.990,2.409,67.722
27,11,0.246,0.334,1.835,0.005,1.000,2.000,0.948,8.126,129.667
28,15,0.347,0.436,2.097,0.007,1.000,0.000,0.959,11.017,150.413
29,5,0.100,0.436,2.399,0.001,1.000,0.000,0.985,3.171,48.713
