Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,9,0.364,2.250,0.114,0.986,1.000,1.000,0.969,4.022,63.420
1,2,0.465,2.173,0.043,0.082,1.000,0.000,0.990,1.008,25.868
2,2,0.400,2.213,0.043,0.086,1.000,0.000,0.990,1.067,21.575
3,13,0.427,1.924,0.337,1.942,4.000,2.000,0.977,7.767,129.454
4,8,0.364,2.005,0.024,0.142,1.000,1.000,0.990,4.009,72.491
5,12,0.494,2.130,0.450,2.160,6.000,0.000,0.977,7.406,90.371
6,4,0.458,1.996,0.238,0.895,1.000,0.000,0.991,1.790,38.353
7,5,0.450,2.067,0.107,0.522,1.000,1.000,0.980,1.835,56.956
8,2,0.386,2.175,0.101,0.108,3.000,0.000,0.974,0.569,28.552
9,6,0.510,2.013,0.575,1.377,6.000,0.000,0.984,2.772,51.035
10,9,0.491,2.199,0.014,0.093,1.000,2.000,0.968,3.132,100.176
11,2,0.455,2.141,0.088,0.161,1.000,0.000,0.975,0.839,28.970
12,3,0.475,2.155,0.299,0.887,1.000,0.000,0.983,1.340,23.311
13,2,0.425,2.735,0.615,0.856,2.000,0.000,0.976,0.518,28.559
14,3,0.518,2.179,0.075,0.216,2.000,1.000,0.988,1.242,46.442
15,7,0.429,2.405,0.000,0.001,1.000,1.000,0.981,3.750,54.352
16,5,0.501,2.274,0.042,0.076,3.000,0.000,0.991,1.822,61.041
17,15,0.400,2.490,0.006,0.020,1.000,1.000,0.972,8.788,107.036
18,4,0.382,2.081,0.280,0.838,3.000,0.000,0.983,1.818,39.141
19,2,0.483,2.190,0.517,0.912,3.000,0.000,0.987,0.599,29.220
20,3,0.427,2.117,0.253,0.655,3.000,1.000,0.998,0.837,43.805
21,2,0.522,2.139,0.128,0.254,2.000,0.000,0.989,0.384,27.933
22,6,0.491,2.118,0.012,0.044,1.000,0.000,0.993,2.739,35.888
23,4,0.493,2.457,0.303,1.013,3.000,0.000,0.987,1.824,39.431
24,13,0.494,1.886,0.294,1.716,4.000,1.000,0.979,7.735,94.423
25,7,0.468,2.376,0.001,0.004,1.000,0.000,0.957,2.943,56.142
26,2,0.501,2.159,0.293,0.584,1.000,0.000,0.994,0.530,27.962
27,3,0.526,3.606,0.078,0.220,1.000,0.000,0.985,0.630,40.319
28,2,0.422,2.150,0.070,0.135,1.000,0.000,0.983,0.882,29.462
29,15,0.458,2.219,0.004,0.011,0.000,0.000,0.937,7.488,91.654
