Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,1,0.315,2.316,0.000,0.000,1.000,0.000,0.985,0.001,12.142
1,2,0.465,2.173,0.069,0.138,1.000,0.000,0.990,0.003,23.347
2,3,0.449,1.877,0.229,0.673,1.000,0.000,0.971,0.006,28.499
3,2,0.411,2.179,0.108,0.191,1.000,0.000,0.946,0.003,27.099
4,3,0.458,2.179,0.041,0.108,1.000,0.000,0.987,0.005,31.886
5,3,0.552,2.126,0.062,0.176,1.000,0.000,0.989,0.007,32.346
6,2,0.492,2.240,0.037,0.072,1.000,0.000,0.938,0.003,19.252
7,12,0.408,1.989,0.032,0.125,5.000,0.000,0.947,0.040,79.116
8,1,0.427,2.126,0.078,0.078,1.000,0.000,0.973,0.001,23.155
9,2,0.453,3.435,0.227,0.418,1.000,0.000,0.918,0.003,29.287
10,3,0.453,2.053,0.337,0.955,3.000,0.000,0.950,0.003,33.456
11,2,0.455,2.138,0.096,0.167,1.000,0.000,0.975,0.004,27.661
12,5,0.489,1.979,0.061,0.185,2.000,0.000,0.985,0.019,42.230
13,5,0.373,2.077,0.017,0.046,1.000,1.000,0.959,0.011,56.103
14,4,0.480,2.237,0.171,0.616,1.000,0.000,0.984,0.005,48.066
15,15,0.366,1.878,0.007,0.043,1.000,3.000,0.941,0.039,124.663
16,6,0.564,1.915,0.048,0.135,2.000,0.000,0.983,0.013,35.255
17,3,0.485,2.046,0.251,0.734,1.000,0.000,0.949,0.003,31.773
18,2,0.348,2.205,0.038,0.059,1.000,0.000,0.982,0.002,21.933
19,8,0.512,1.967,0.008,0.025,1.000,0.000,0.987,0.024,54.254
20,3,0.490,1.991,0.226,0.668,1.000,0.000,0.998,0.004,31.291
21,2,0.522,2.138,0.145,0.289,1.000,0.000,0.989,0.003,26.784
22,2,0.472,2.190,0.163,0.205,2.000,0.000,0.948,0.003,27.342
23,2,0.482,2.178,0.237,0.465,1.000,0.000,0.967,0.002,27.473
24,7,0.328,2.036,0.025,0.069,1.000,3.000,0.967,0.015,89.832
25,3,0.496,2.090,0.146,0.401,2.000,1.000,0.985,0.005,36.270
26,2,0.501,2.158,0.300,0.598,1.000,0.000,0.994,0.002,27.136
27,8,0.443,1.939,0.004,0.028,1.000,0.000,0.963,0.014,39.047
28,6,0.453,2.034,0.005,0.023,1.000,0.000,0.967,0.013,29.457
29,5,0.469,2.075,0.038,0.080,2.000,0.000,0.962,0.010,40.646
