Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,5,0.5042,0.0003,0.0006,0.2034,1.2734,78.4079
1,6,0.4776,0.1515,0.4771,0.2788,1.6611,106.6729
2,8,0.5038,0.0010,0.0023,0.2491,2.8455,42.5283
3,8,0.4652,0.0078,0.0378,0.4797,2.2854,71.7190
4,6,0.4849,0.0552,0.3238,0.2860,1.7158,106.3147
5,7,0.5080,0.0519,0.3134,0.2933,2.3999,52.2538
6,6,0.4535,0.0024,0.0040,0.2924,1.6576,115.1352
7,11,0.4906,0.0016,0.0038,0.4023,4.2825,107.4975
8,14,0.4405,0.0043,0.0195,0.4764,5.7828,160.1867
9,5,0.5385,0.1047,0.1840,0.2331,1.2879,56.4790
10,5,0.5241,0.0708,0.3331,0.2309,1.3678,100.2496
11,7,0.5159,0.0010,0.0028,0.3850,2.1238,54.6178
12,8,0.4951,0.1931,1.1033,0.3927,2.5493,61.4502
13,13,0.4676,0.0057,0.0325,0.4366,5.2196,140.3468
14,9,0.4923,0.0033,0.0208,0.3766,3.0833,99.2271
15,8,0.4686,0.0008,0.0015,0.3620,2.4695,66.8402
16,6,0.4938,0.0315,0.1304,0.3629,1.8433,46.9987
17,7,0.5043,0.0004,0.0011,0.2253,2.1436,34.7736
18,5,0.5350,0.0005,0.0010,0.2276,1.1971,86.9600
19,5,0.5326,0.0537,0.2254,0.1872,1.5008,41.0846
20,6,0.5539,0.0006,0.0008,0.3038,1.8281,71.9758
21,5,0.5011,0.0600,0.2973,0.2168,1.4160,109.0193
22,9,0.4656,0.0028,0.0168,0.3145,3.1688,68.4768
23,5,0.5724,0.0007,0.0018,0.2330,1.3666,55.0184
24,6,0.4993,0.0007,0.0028,0.2696,1.6298,30.1750
25,7,0.4818,0.0061,0.0184,0.3907,1.9003,70.3937
26,4,0.4870,0.0088,0.0304,0.2484,0.8848,83.3775
27,4,0.5224,0.0006,0.0010,0.1711,1.0785,52.8822
28,6,0.5310,0.0860,0.2381,0.3123,1.6136,94.4611
29,6,0.5297,0.2453,1.0274,0.3111,1.4927,84.6008
