Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,5,0.105,0.446,2.194,0.037,2.000,0.000,0.843,10.739,52.831
1,4,0.127,0.559,2.139,0.003,1.000,0.000,0.971,11.501,41.669
2,5,0.103,0.459,2.178,0.002,1.000,0.000,0.833,11.721,40.687
3,5,0.162,0.453,2.150,1.436,5.000,0.000,0.951,17.084,61.876
4,5,0.103,0.480,2.141,0.244,1.000,0.000,0.874,9.298,41.252
5,4,0.145,0.519,3.555,0.003,1.000,0.000,0.974,15.019,51.331
6,5,0.113,0.417,2.662,2.269,6.000,0.000,0.880,10.266,51.487
7,4,0.120,0.444,2.185,0.360,2.000,0.000,0.977,8.941,37.653
8,5,0.138,0.446,2.663,0.006,1.000,0.000,0.804,15.637,48.848
9,6,0.119,0.367,2.195,0.027,2.000,0.000,0.717,17.193,72.511
10,5,0.163,0.404,2.949,0.032,2.000,0.000,0.904,16.894,63.877
11,4,0.129,0.454,2.166,0.005,1.000,0.000,0.995,13.918,47.633
12,5,0.112,0.409,2.196,0.691,5.000,0.000,0.869,5.464,36.551
13,4,0.118,0.469,2.883,1.428,5.000,0.000,0.966,10.680,41.115
14,5,0.133,0.426,2.161,0.931,6.000,0.000,0.869,11.032,51.876
15,5,0.108,0.470,2.193,0.002,1.000,0.000,0.943,16.700,46.654
16,4,0.110,0.400,3.180,0.003,1.000,0.000,0.984,5.489,32.868
17,6,0.122,0.383,2.218,0.006,1.000,0.000,0.955,26.320,66.870
18,6,0.095,0.436,2.691,0.002,1.000,0.000,0.853,17.522,54.289
19,4,0.149,0.498,2.161,0.006,1.000,0.000,0.881,6.068,39.419
20,5,0.134,0.469,2.083,2.703,5.000,0.000,0.768,13.647,49.188
21,5,0.151,0.484,2.145,0.009,1.000,0.000,0.834,14.454,57.319
22,5,0.127,0.440,2.427,0.002,1.000,0.000,0.877,11.985,49.511
23,5,0.133,0.425,2.139,1.387,6.000,0.000,0.824,10.270,51.871
24,6,0.136,0.451,2.443,0.894,6.000,0.000,0.766,20.272,73.023
25,6,0.177,0.478,2.064,0.009,0.000,1.000,0.865,11.399,62.697
26,2,0.033,0.488,2.215,0.000,1.000,0.000,1.000,0.570,18.235
27,6,0.155,0.440,2.144,1.141,5.000,0.000,0.804,17.559,55.170
28,5,0.108,0.488,2.622,0.009,1.000,0.000,0.950,10.078,41.776
29,6,0.129,0.436,2.187,0.003,1.000,0.000,0.824,22.201,57.509
