Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,3,0.432,2.196,0.000,0.000,1.000,0.000,0.988,0.003,17.970
1,5,0.528,2.340,0.000,0.002,1.000,0.000,0.987,0.007,25.322
2,10,0.373,2.680,0.012,0.039,1.000,0.000,0.926,0.024,51.090
3,3,0.417,2.159,0.000,0.000,1.000,0.000,0.982,0.004,18.532
4,7,0.422,1.940,0.007,0.043,2.000,1.000,0.984,0.017,48.075
5,5,0.482,1.942,0.008,0.030,1.000,0.000,0.975,0.012,26.318
6,5,0.384,2.043,0.001,0.003,1.000,1.000,0.943,0.006,37.760
7,10,0.416,2.502,0.002,0.009,1.000,0.000,0.933,0.029,55.270
8,1,0.427,2.126,0.185,0.185,2.000,0.000,0.973,0.001,22.483
9,3,0.464,3.230,0.000,0.000,1.000,0.000,0.979,0.004,18.758
10,3,0.577,2.187,0.000,0.001,1.000,0.000,0.984,0.002,17.914
11,4,0.498,3.962,0.002,0.003,1.000,0.000,0.977,0.005,27.591
12,2,0.463,2.159,0.000,0.000,1.000,0.000,0.980,0.003,15.331
13,4,0.450,2.236,0.000,0.001,1.000,0.000,0.976,0.006,21.298
14,5,0.523,2.007,0.002,0.006,1.000,1.000,0.990,0.008,38.613
15,3,0.452,2.184,0.001,0.001,1.000,1.000,0.986,0.002,29.760
16,5,0.426,2.007,0.009,0.039,1.000,0.000,0.963,0.007,28.999
17,4,0.478,2.293,0.000,0.001,1.000,0.000,0.976,0.007,22.003
18,2,0.348,2.207,0.041,0.065,2.000,0.000,0.982,0.002,26.825
19,12,0.400,1.930,0.004,0.014,1.000,1.000,0.950,0.030,69.543
20,3,0.470,1.998,0.000,0.000,1.000,0.000,0.998,0.004,18.529
21,2,0.522,2.139,0.067,0.134,2.000,0.000,0.989,0.002,26.598
22,6,0.491,2.257,0.001,0.002,1.000,0.000,0.993,0.013,28.516
23,5,0.486,2.012,0.000,0.001,1.000,0.000,0.989,0.006,25.289
24,3,0.523,2.218,0.000,0.000,1.000,0.000,0.992,0.004,18.329
25,3,0.521,3.593,0.000,0.000,1.000,0.000,0.985,0.004,18.756
26,3,0.524,2.010,0.143,0.391,2.000,1.000,0.994,0.003,43.074
27,3,0.543,2.212,0.000,0.000,1.000,0.000,0.985,0.004,18.367
28,4,0.479,2.224,0.002,0.006,1.000,0.000,0.982,0.006,27.477
29,3,0.479,2.199,0.000,0.001,1.000,0.000,0.983,0.004,18.285
