Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,4,0.488,1.951,0.050,1.000,0.000,0.945,0.080,36.990
1,3,0.539,2.807,0.054,1.000,0.000,0.984,0.137,33.148
2,6,0.483,1.932,0.054,1.000,0.000,0.967,0.184,47.616
3,3,0.534,1.825,0.368,1.000,0.000,0.978,0.039,32.051
4,3,0.467,1.649,0.871,4.000,0.000,0.929,0.078,32.343
5,5,0.461,2.273,0.169,3.000,0.000,0.981,0.315,44.874
6,3,0.460,1.831,0.113,1.000,0.000,0.980,0.048,35.356
7,11,0.507,2.041,0.083,5.000,1.000,0.927,0.792,96.199
8,5,0.503,1.974,0.034,1.000,0.000,0.991,0.327,42.158
9,9,0.360,2.029,0.030,1.000,0.000,0.881,0.371,65.224
10,2,0.522,1.900,0.307,2.000,0.000,0.987,0.021,27.384
11,5,0.512,2.184,0.548,2.000,0.000,0.993,0.285,44.526
12,4,0.430,1.938,0.243,2.000,0.000,0.925,0.063,37.537
13,4,0.493,1.952,0.199,3.000,0.000,0.989,0.152,24.945
14,3,0.473,1.846,0.491,4.000,0.000,0.954,0.134,32.089
15,2,0.500,1.639,0.122,1.000,0.000,0.962,0.198,28.068
16,5,0.459,1.967,0.070,1.000,0.000,0.996,0.170,42.233
17,9,0.429,1.938,0.242,4.000,2.000,0.973,0.780,96.237
18,5,0.447,1.991,0.043,1.000,0.000,0.965,0.215,42.387
19,6,0.470,2.012,0.653,4.000,0.000,0.913,0.150,45.633
20,5,0.474,1.950,0.149,3.000,0.000,0.964,0.164,41.506
21,7,0.466,2.377,0.033,1.000,0.000,0.963,0.616,53.799
22,2,0.458,1.647,0.218,1.000,0.000,0.957,0.069,20.096
23,3,0.474,1.859,0.196,2.000,0.000,0.978,0.060,21.213
24,3,0.503,1.855,0.100,1.000,0.000,0.978,0.021,24.683
25,8,0.477,1.980,0.084,3.000,0.000,0.956,0.289,57.069
26,4,0.458,1.928,0.062,1.000,0.000,1.000,0.223,37.016
27,6,0.456,2.013,0.031,1.000,0.000,0.949,0.226,46.711
28,4,0.443,1.912,0.097,1.000,0.000,0.981,0.143,36.781
29,6,0.427,2.460,0.040,1.000,0.000,0.982,0.365,46.956
