Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,6,0.473,1.928,0.003,0.000,0.000,0.868,0.939,55.689
1,4,0.552,1.724,0.001,0.000,0.000,0.941,1.088,43.644
2,2,0.455,1.676,0.001,1.000,0.000,0.977,1.098,36.781
3,1,0.513,1.696,0.001,1.000,0.000,0.983,0.952,37.567
4,4,0.475,3.001,0.007,1.000,0.000,0.818,1.132,50.576
5,1,0.565,4.482,0.000,1.000,0.000,0.982,0.949,35.183
6,5,0.415,2.057,0.005,0.000,0.000,0.763,1.220,50.363
7,5,0.445,1.615,0.002,1.000,1.000,0.955,1.021,81.785
8,2,0.531,3.822,0.001,1.000,0.000,0.932,0.913,36.525
9,5,0.411,2.342,0.007,1.000,0.000,0.802,1.237,76.607
10,3,0.537,3.605,0.002,1.000,0.000,0.987,1.024,49.111
11,1,0.574,1.637,0.002,1.000,0.000,1.000,1.015,33.506
12,5,0.408,1.649,0.002,0.000,0.000,0.803,1.140,52.256
13,4,0.488,2.175,0.001,0.000,0.000,0.914,1.488,49.974
14,4,0.430,1.742,0.003,1.000,0.000,0.849,1.047,49.011
15,5,0.443,3.385,0.005,0.000,0.000,0.782,1.090,53.965
16,4,0.411,2.180,0.001,0.000,0.000,0.954,1.226,45.475
17,1,0.495,1.663,0.000,1.000,0.000,0.981,1.109,36.589
18,1,0.363,1.708,0.000,1.000,0.000,1.000,1.050,32.235
19,2,0.518,7.147,0.001,1.000,0.000,0.922,1.213,40.610
20,1,0.437,1.804,0.002,1.000,0.000,0.969,1.267,31.020
21,2,0.522,1.756,0.001,1.000,0.000,0.901,0.981,29.695
22,2,0.464,1.760,0.001,1.000,0.000,0.922,0.880,29.654
23,1,0.524,4.964,0.000,1.000,0.000,1.000,0.884,29.138
24,3,0.471,1.663,0.002,1.000,0.000,0.840,1.144,36.977
25,3,0.512,1.723,0.007,1.000,0.000,0.910,1.245,36.680
26,2,0.489,3.621,0.001,1.000,0.000,0.944,1.050,31.916
27,3,0.497,1.710,0.003,1.000,0.000,0.979,1.081,35.061
28,5,0.483,1.736,0.001,0.000,0.000,0.943,1.096,39.186
29,7,0.432,2.870,0.002,0.000,0.000,0.913,0.999,51.401
