Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,2,0.441,1.706,0.042,0.083,0.868,0.894,26.408
1,1,0.586,1.854,0.000,0.000,0.992,0.108,13.148
2,2,0.467,2.266,0.001,0.002,0.990,0.599,16.168
3,1,0.483,2.209,0.000,0.000,0.989,0.158,11.947
4,2,0.455,2.806,0.000,0.001,0.989,0.467,15.759
5,1,0.444,2.171,0.000,0.000,0.992,0.116,12.183
6,2,0.473,1.889,0.000,0.000,0.986,0.682,16.982
7,2,0.516,1.945,0.001,0.001,0.979,0.507,16.440
8,4,0.363,2.732,0.003,0.006,0.934,1.517,25.842
9,4,0.437,1.866,0.006,0.023,0.941,1.333,28.794
10,2,0.453,1.724,0.000,0.000,0.983,0.389,15.408
11,1,0.563,2.099,0.000,0.000,0.977,0.121,12.213
12,4,0.446,2.629,0.008,0.011,0.745,1.190,24.366
13,1,0.403,3.819,0.000,0.000,0.973,0.157,11.716
14,2,0.426,2.073,0.000,0.000,0.925,0.545,15.436
15,1,0.461,2.639,0.002,0.002,0.985,0.150,12.353
16,1,0.517,1.916,0.000,0.000,0.991,0.102,12.615
17,1,0.515,7.779,0.000,0.000,0.984,0.133,17.376
18,3,0.531,2.857,0.002,0.005,0.899,0.994,39.419
19,2,0.432,2.814,0.001,0.001,0.948,0.525,15.851
20,2,0.518,1.764,0.001,0.001,0.951,0.542,15.817
21,2,0.525,2.010,0.000,0.000,0.989,0.454,15.338
22,3,0.497,2.584,0.021,0.030,0.894,0.737,25.883
23,4,0.367,6.475,0.013,0.046,0.877,1.236,52.825
24,6,0.434,1.958,0.020,0.099,0.801,1.734,47.288
25,1,0.624,2.182,0.000,0.000,0.984,0.234,11.943
26,1,0.395,2.161,0.000,0.000,1.000,0.125,11.908
27,1,0.466,1.730,0.001,0.001,0.984,0.213,12.001
28,1,0.515,1.906,0.000,0.000,0.982,0.119,11.865
29,1,0.605,2.037,0.001,0.001,0.984,0.165,12.215
