Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,1,0.382,2.318,0.000,0.000,0.985,5.700,27.095
1,5,0.449,2.069,0.846,1.820,0.960,32.761,84.235
2,4,0.377,2.070,0.006,0.017,0.985,22.996,54.059
3,6,0.485,1.882,0.595,1.398,0.949,52.113,152.295
4,6,0.421,5.719,0.271,0.780,0.950,47.653,138.872
5,3,0.445,2.165,0.000,0.000,0.986,17.304,42.928
6,6,0.356,7.107,0.633,1.608,0.919,38.816,154.395
7,10,0.261,3.637,0.015,0.034,0.931,67.463,263.356
8,3,0.357,2.307,0.006,0.010,0.947,20.626,49.209
9,7,0.402,5.105,0.529,1.679,0.932,49.897,164.848
10,6,0.440,4.318,0.449,0.893,0.921,47.040,158.470
11,7,0.469,3.460,0.047,0.239,0.963,59.214,148.120
12,11,0.369,2.497,0.014,0.053,0.849,83.419,242.438
13,5,0.427,2.289,0.960,1.949,0.929,33.878,113.335
14,6,0.386,3.265,0.275,0.859,0.961,39.274,148.610
15,7,0.466,5.348,0.001,0.003,0.941,51.189,139.909
16,8,0.416,3.368,0.008,0.023,0.927,63.209,174.969
17,6,0.476,2.115,0.003,0.007,0.911,34.257,72.325
18,5,0.358,2.745,0.009,0.031,0.928,36.727,72.897
19,11,0.274,2.845,0.011,0.034,0.969,71.228,258.933
20,4,0.527,1.919,0.001,0.002,0.997,32.498,90.014
21,2,0.520,2.154,0.000,0.000,0.989,16.050,42.233
22,8,0.276,3.372,0.019,0.038,0.931,52.033,198.479
23,7,0.317,6.744,0.178,0.796,0.950,49.594,219.835
24,7,0.364,3.771,0.127,0.864,0.917,49.387,167.561
25,8,0.404,2.123,0.071,0.161,0.849,74.163,180.211
26,9,0.316,7.700,0.024,0.070,0.977,60.224,248.468
27,5,0.452,2.424,0.114,0.275,0.814,31.776,104.735
28,6,0.437,2.350,0.006,0.030,0.952,40.925,111.291
29,4,0.462,2.481,0.000,0.000,0.948,28.263,86.193
