Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,12,0.285,0.325,2.016,0.015,2.000,3.000,0.932,4.418,145.541
1,1,0.046,0.564,2.168,0.186,2.000,0.000,0.986,1.042,33.660
2,3,0.055,0.319,2.044,0.026,1.000,1.000,0.976,1.595,44.441
3,3,0.114,0.508,1.991,0.080,2.000,0.000,0.985,2.233,46.336
4,10,0.189,0.445,2.364,0.002,1.000,0.000,0.977,4.102,81.938
5,3,0.118,0.189,1.932,0.007,1.000,2.000,0.981,1.469,54.434
6,3,0.072,0.325,2.065,0.030,2.000,1.000,0.992,1.716,55.998
7,2,0.084,0.558,1.947,0.106,1.000,0.000,0.982,1.147,37.687
8,3,0.090,0.507,2.053,0.078,2.000,0.000,0.998,1.761,36.621
9,8,0.157,0.403,2.983,0.064,3.000,1.000,0.927,3.905,102.507
10,2,0.084,0.498,2.508,0.160,2.000,0.000,0.987,1.434,39.912
11,1,0.070,0.561,2.115,0.383,1.000,0.000,1.000,1.483,35.715
12,2,0.031,0.517,2.117,0.117,2.000,0.000,0.989,1.847,40.962
13,1,0.036,0.523,2.183,0.025,1.000,0.000,1.000,0.919,33.591
14,9,0.259,0.396,2.115,0.008,1.000,1.000,0.941,4.044,95.351
15,11,0.226,0.414,1.849,0.005,0.000,6.000,0.980,4.347,169.875
16,3,0.093,0.439,2.027,0.102,3.000,0.000,0.997,2.151,47.257
17,3,0.084,0.300,2.001,0.051,1.000,1.000,0.982,1.685,51.867
18,11,0.202,0.429,2.044,0.002,1.000,1.000,0.980,4.091,98.102
19,2,0.074,0.542,1.911,0.229,1.000,0.000,0.977,1.172,30.020
20,1,0.020,0.450,2.215,0.059,2.000,0.000,0.969,1.133,34.372
21,11,0.310,0.425,2.973,0.001,0.000,1.000,0.974,4.101,110.577
22,15,0.366,0.405,2.020,0.006,0.000,2.000,0.948,3.495,137.906
23,10,0.293,0.453,2.001,0.008,1.000,2.000,0.961,2.824,108.133
24,8,0.165,0.388,2.022,0.006,0.000,0.000,0.977,1.795,44.011
25,5,0.142,0.515,1.967,0.317,5.000,0.000,0.972,1.323,47.046
26,10,0.225,0.375,1.912,0.010,0.000,2.000,0.963,2.319,87.898
27,3,0.071,0.519,2.049,0.021,2.000,1.000,0.991,0.788,48.140
28,2,0.046,0.554,1.997,0.063,1.000,0.000,0.977,0.758,23.284
29,9,0.215,0.465,1.859,0.023,2.000,2.000,0.979,2.443,104.735
