Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,7,0.4914,0.0005,0.0012,0.2748,1.9573,68.2943
1,9,0.4430,0.0050,0.0406,0.3864,2.1319,78.3645
2,6,0.5174,0.0422,0.2103,0.2001,1.6704,79.9671
3,3,0.5755,0.0002,0.0004,0.1577,1.3859,29.1625
4,10,0.5093,0.0025,0.0076,0.4789,2.2203,164.9633
5,8,0.4819,0.0015,0.0043,0.3448,1.8904,76.9841
6,8,0.4888,0.0014,0.0019,0.3824,2.0514,106.9897
7,10,0.4831,0.0008,0.0026,0.3569,1.9752,100.5401
8,13,0.4940,0.2773,2.4013,0.4502,2.2880,150.9412
9,9,0.4382,0.0060,0.0282,0.3854,1.8385,109.0319
10,8,0.4203,0.0061,0.0435,0.4015,1.7966,92.1309
11,7,0.5522,0.0004,0.0007,0.3850,1.4636,52.8700
12,9,0.5196,0.0034,0.0204,0.4207,1.8729,84.1103
13,6,0.5067,0.0161,0.0944,0.2295,1.6528,88.5831
14,10,0.4858,0.0045,0.0302,0.4141,1.7749,69.4454
15,10,0.4648,0.0029,0.0206,0.4682,1.5910,99.4572
16,7,0.4886,0.2009,0.9224,0.3866,1.4769,86.6297
17,11,0.4588,0.0042,0.0421,0.3782,1.9634,78.5228
18,8,0.4554,0.0065,0.0394,0.4214,1.5590,131.9052
19,5,0.5226,0.0372,0.1835,0.1872,1.4858,53.4718
20,8,0.5223,0.0005,0.0010,0.3983,1.6842,55.2958
21,5,0.5095,0.0003,0.0008,0.2168,1.4836,90.4740
22,12,0.4909,0.0010,0.0021,0.4554,1.8079,118.4515
23,10,0.3997,0.3409,1.7090,0.5087,1.5623,141.9930
24,10,0.4554,0.0066,0.0357,0.4616,1.8055,105.6371
25,7,0.4835,0.0057,0.0309,0.3907,1.3155,86.8651
26,2,0.4307,0.0125,0.0241,0.1184,1.0075,22.4848
27,10,0.4877,0.0018,0.0141,0.4342,1.4727,121.5349
28,5,0.5270,0.0005,0.0011,0.1817,1.3254,88.9643
29,9,0.4416,0.0070,0.0341,0.4102,1.5481,102.7807
