Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,21,0.4960,0.0037,0.0147,0.7221,0.1292,95.8271
1,10,0.5388,0.0892,0.8851,0.4905,0.0560,38.2845
2,8,0.5431,0.0008,0.0022,0.4228,0.0296,28.7595
3,10,0.4945,0.0011,0.0026,0.5745,0.0732,37.8233
4,8,0.5148,0.0006,0.0020,0.3275,0.0353,30.0552
5,8,0.5215,0.0016,0.0045,0.4855,0.0532,29.7623
6,10,0.4666,0.0024,0.0098,0.5879,0.0498,38.3394
7,12,0.4505,0.0023,0.0082,0.5770,0.0590,47.3288
8,15,0.4789,0.0035,0.0138,0.6457,0.0662,81.4021
9,4,0.5086,0.0003,0.0006,0.1659,0.0138,16.3739
10,9,0.5478,0.0008,0.0041,0.5445,0.0463,32.1453
11,12,0.5050,0.0043,0.0140,0.5893,0.0455,49.1389
12,9,0.4812,0.0004,0.0007,0.4169,0.0483,31.7807
13,6,0.5031,0.0004,0.0008,0.3404,0.0211,22.2916
14,9,0.4796,0.0010,0.0037,0.4903,0.0419,33.6220
15,3,0.5603,0.0009,0.0019,0.2060,0.0100,12.7208
16,4,0.5363,0.0005,0.0012,0.1281,0.0146,16.0726
17,13,0.4816,0.0025,0.0089,0.5426,0.0766,50.1963
18,11,0.4931,0.0022,0.0090,0.5641,0.0428,42.2525
19,8,0.4656,0.0006,0.0011,0.2876,0.0374,28.7365
20,7,0.4831,0.0005,0.0022,0.3772,0.0215,25.6037
21,11,0.4416,0.0019,0.0074,0.5922,0.0561,42.0544
22,9,0.4633,0.0018,0.0047,0.3860,0.0355,39.2170
23,8,0.4816,0.0010,0.0020,0.3191,0.0317,30.9419
24,10,0.4630,0.0024,0.0168,0.5561,0.0414,38.9775
25,7,0.5058,0.0004,0.0011,0.3951,0.0266,24.6480
26,7,0.4707,0.0046,0.0089,0.4020,0.0220,47.4589
27,9,0.4658,0.0013,0.0040,0.3661,0.0506,36.7887
28,8,0.4895,0.0007,0.0016,0.4477,0.0331,28.7569
29,7,0.5123,0.0010,0.0029,0.4252,0.0308,25.9681
