Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,11,0.4854,0.0056,0.0197,0.3789,0.8433,94.1633
1,5,0.4509,0.0028,0.0116,0.1927,0.7053,21.8025
2,4,0.4837,0.0004,0.0006,0.1433,0.6800,46.5386
3,4,0.5113,0.0007,0.0017,0.3600,0.7035,50.8139
4,6,0.4658,0.2685,1.2040,0.2637,0.7333,70.9045
5,5,0.5461,0.0012,0.0038,0.2447,0.7135,47.6572
6,4,0.4688,0.0013,0.0023,0.1777,0.6921,20.2051
7,5,0.4361,0.0010,0.0015,0.2493,0.7118,25.4178
8,3,0.4166,0.0002,0.0004,0.0771,0.6717,16.0391
9,4,0.4486,0.0014,0.0034,0.1659,0.7312,48.6646
10,3,0.5355,0.0014,0.0029,0.1304,0.6910,29.7895
11,6,0.5104,0.0007,0.0025,0.2779,0.7237,29.9842
12,5,0.4966,0.0016,0.0035,0.2067,0.7241,25.8879
13,3,0.4992,0.0002,0.0005,0.1670,0.6719,16.0088
14,4,0.5274,0.0016,0.0044,0.2185,0.6905,18.9917
15,5,0.4861,0.0011,0.0026,0.3476,0.7153,60.6182
16,6,0.4772,0.0004,0.0006,0.1894,0.7258,33.0855
17,4,0.4605,0.0007,0.0013,0.1674,0.6942,18.8080
18,5,0.4429,0.0037,0.0135,0.2617,0.7163,23.7641
19,7,0.4419,0.0022,0.0097,0.2038,0.7816,58.2440
20,4,0.4500,0.0042,0.0156,0.1707,0.6774,20.0005
21,4,0.4712,0.0007,0.0016,0.1231,0.6929,19.4660
22,5,0.4440,0.0010,0.0034,0.2078,0.7358,41.7317
23,6,0.4587,0.0010,0.0017,0.2501,0.7200,26.7953
24,2,0.4273,0.0002,0.0003,0.1059,0.6531,13.2014
25,2,0.4397,0.0003,0.0006,0.0728,0.6441,13.0722
26,1,0.4329,0.1039,0.1039,0.0470,0.6447,10.3796
27,8,0.4543,0.0036,0.0071,0.2973,0.7580,69.0855
28,5,0.4632,0.2456,1.2236,0.2847,0.7127,23.4862
29,5,0.5190,0.0083,0.0160,0.2978,0.7169,68.8916
