Data,Feasible Num,Space Utilization,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,13,0.296,0.456,2.363,0.255,3.000,0.000,0.969,17.475,120.913
1,12,0.213,0.456,2.303,0.045,2.000,0.000,0.978,17.610,113.003
2,26,0.250,0.406,2.248,0.020,2.000,0.000,0.943,36.911,232.939
3,17,0.204,0.449,3.017,0.021,2.000,0.000,0.972,24.817,162.281
4,23,0.219,0.463,2.045,0.001,1.000,0.000,0.953,32.821,191.549
5,26,0.292,0.500,2.182,0.002,1.000,2.000,0.961,34.579,279.165
6,21,0.244,0.423,2.424,0.283,7.000,1.000,0.962,30.538,237.604
7,14,0.242,0.385,2.331,0.008,1.000,0.000,0.946,19.943,113.255
8,19,0.195,0.435,2.295,0.002,1.000,1.000,0.967,27.853,155.481
9,20,0.222,0.403,2.667,0.007,1.000,0.000,0.967,28.022,179.493
10,24,0.279,0.416,2.298,0.006,1.000,0.000,0.948,35.830,244.461
11,23,0.235,0.416,2.279,0.007,1.000,1.000,0.959,32.364,200.067
12,20,0.229,0.421,2.389,0.003,1.000,0.000,0.960,27.966,166.379
13,27,0.179,0.408,2.380,0.018,2.000,0.000,0.944,43.377,248.383
14,19,0.241,0.436,2.587,0.045,2.000,0.000,0.959,28.862,160.623
15,19,0.240,0.397,2.270,0.010,1.000,1.000,0.962,29.501,195.496
16,23,0.213,0.434,2.339,0.005,1.000,0.000,0.951,37.427,203.465
17,19,0.187,0.421,2.382,0.002,1.000,1.000,0.959,29.424,170.342
18,26,0.198,0.413,2.138,0.005,1.000,1.000,0.960,42.607,236.167
19,17,0.174,0.378,2.211,0.005,1.000,1.000,0.964,27.579,146.029
20,28,0.212,0.467,2.412,0.002,1.000,1.000,0.945,50.800,284.053
21,15,0.208,0.406,2.303,0.041,1.000,0.000,0.962,25.610,136.340
22,24,0.194,0.466,2.505,0.002,1.000,0.000,0.961,37.873,222.031
23,24,0.245,0.457,2.476,0.004,1.000,0.000,0.973,38.070,221.097
24,22,0.222,0.433,2.346,0.002,1.000,0.000,0.963,33.001,192.457
25,15,0.224,0.453,2.084,0.001,1.000,0.000,0.970,22.216,125.592
26,21,0.183,0.415,2.193,0.003,1.000,1.000,0.967,32.537,192.853
27,25,0.230,0.430,2.527,0.002,1.000,0.000,0.962,38.544,258.778
28,29,0.271,0.412,2.275,0.007,1.000,0.000,0.945,46.169,299.377
29,24,0.232,0.447,2.247,0.005,1.000,1.000,0.939,37.939,232.582
