Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,3,0.478,2.316,0.367,2.000,0.000,0.979,0.006,19.639
1,3,0.458,2.282,0.390,1.000,0.000,0.967,0.005,23.792
2,17,0.341,2.660,0.029,2.000,2.000,0.954,0.055,140.302
3,10,0.318,3.128,0.072,2.000,1.000,0.953,0.038,96.821
4,8,0.445,2.367,0.049,2.000,0.000,0.952,0.026,45.046
5,15,0.432,2.183,0.012,1.000,2.000,0.951,0.060,80.333
6,5,0.394,2.674,0.042,1.000,0.000,0.964,0.009,46.710
7,12,0.410,2.244,0.030,1.000,3.000,0.941,0.047,116.987
8,13,0.375,3.221,0.048,2.000,1.000,0.939,0.065,83.268
9,18,0.263,2.472,0.020,1.000,4.000,0.950,0.084,154.575
10,5,0.431,2.295,0.375,3.000,0.000,0.935,0.013,41.322
11,4,0.415,2.314,0.220,2.000,0.000,0.937,0.010,37.285
12,5,0.339,2.378,0.020,1.000,0.000,0.967,0.010,25.965
13,12,0.409,2.315,0.029,1.000,0.000,0.915,0.047,66.601
14,14,0.321,2.247,0.259,7.000,3.000,0.935,0.060,106.681
15,4,0.433,2.324,0.029,1.000,1.000,0.888,0.009,42.474
16,31,0.277,2.151,0.015,1.000,12.000,0.916,0.187,412.596
17,11,0.412,2.280,0.223,6.000,2.000,0.955,0.052,104.462
18,30,0.307,2.670,0.028,1.000,3.000,0.922,0.218,261.943
19,4,0.420,2.388,0.165,2.000,0.000,0.938,0.009,20.511
20,12,0.516,2.395,0.062,2.000,0.000,0.949,0.044,80.327
21,23,0.329,2.039,0.018,1.000,9.000,0.933,0.133,255.777
22,25,0.315,2.337,0.019,1.000,4.000,0.962,0.101,207.114
23,3,0.340,2.909,0.043,1.000,0.000,0.969,0.006,21.875
24,9,0.244,2.520,0.027,1.000,0.000,0.963,0.028,50.173
25,6,0.414,2.325,0.348,4.000,1.000,0.936,0.014,47.331
26,4,0.343,2.428,0.020,1.000,0.000,0.918,0.009,23.201
27,5,0.238,2.891,0.019,1.000,0.000,0.961,0.017,26.429
28,17,0.354,2.415,0.030,3.000,2.000,0.916,0.075,106.473
29,11,0.371,2.465,0.029,1.000,0.000,0.908,0.036,76.096
