Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,2,0.526,3.639,0.814,3.000,0.000,0.954,1.469,41.148
1,7,0.455,1.887,0.505,4.000,0.000,0.934,2.918,62.503
2,5,0.422,1.999,0.733,6.000,0.000,0.961,2.531,63.975
3,8,0.489,1.893,0.428,4.000,1.000,0.887,3.117,80.070
4,8,0.461,1.947,0.671,8.000,0.000,0.868,2.976,81.373
5,7,0.484,2.052,0.282,4.000,0.000,0.973,2.828,59.053
6,10,0.435,1.820,0.324,2.000,0.000,0.939,4.017,86.355
7,7,0.448,1.907,0.661,5.000,0.000,0.926,2.537,61.141
8,8,0.445,2.329,0.757,7.000,0.000,0.949,3.057,78.234
9,6,0.490,1.897,0.439,4.000,1.000,0.931,2.619,55.879
10,7,0.453,2.400,0.412,4.000,0.000,0.920,2.578,70.167
11,9,0.467,1.776,0.004,1.000,0.000,0.897,3.362,70.042
12,10,0.445,2.103,0.349,4.000,2.000,0.953,3.853,123.348
13,3,0.445,2.011,0.001,1.000,0.000,0.940,2.043,31.642
14,10,0.471,1.848,0.325,3.000,0.000,0.910,3.733,82.899
15,10,0.435,2.069,0.483,7.000,1.000,0.892,4.007,100.085
16,9,0.402,2.109,1.511,9.000,1.000,0.944,3.040,105.517
17,7,0.422,1.875,0.232,3.000,0.000,0.950,2.819,72.495
18,7,0.462,2.250,0.087,2.000,0.000,0.881,3.046,71.447
19,1,0.673,1.976,0.000,1.000,0.000,0.985,1.221,21.491
20,8,0.429,1.857,0.655,8.000,0.000,0.880,2.992,81.153
21,7,0.481,3.973,0.325,2.000,1.000,0.923,3.005,75.166
22,5,0.420,2.004,0.785,6.000,0.000,0.961,2.415,55.790
23,3,0.541,1.949,0.261,2.000,0.000,0.925,1.546,41.949
24,9,0.473,1.956,0.201,2.000,1.000,0.952,3.241,101.680
25,7,0.426,1.948,1.212,8.000,1.000,0.865,3.222,80.210
26,8,0.458,1.890,0.236,4.000,0.000,0.954,2.970,78.012
27,9,0.433,2.004,0.262,3.000,0.000,0.962,3.355,70.067
28,8,0.460,1.761,0.837,8.000,0.000,0.875,2.712,70.745
29,1,0.587,1.995,0.000,1.000,0.000,0.928,1.078,18.830
