Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,28,0.318,2.049,0.029,1.000,0.000,0.929,20.242,212.778
1,36,0.379,2.470,0.028,3.000,0.000,0.944,20.394,275.171
2,31,0.452,2.092,0.007,1.000,0.000,0.953,15.573,209.715
3,29,0.423,2.204,0.004,1.000,0.000,0.961,22.883,192.483
4,49,0.388,2.086,0.011,2.000,4.000,0.934,31.445,451.561
5,43,0.456,2.218,0.008,1.000,2.000,0.953,25.819,395.958
6,55,0.374,2.018,0.009,1.000,5.000,0.962,38.457,566.002
7,15,0.438,2.340,0.004,1.000,0.000,0.957,6.621,79.896
8,43,0.405,2.188,0.013,2.000,2.000,0.940,27.241,340.442
9,30,0.460,2.323,0.006,1.000,0.000,0.961,22.390,217.325
10,35,0.389,2.330,0.010,1.000,1.000,0.939,24.165,276.595
11,2,0.511,2.399,0.000,0.000,0.000,0.951,0.415,16.959
12,18,0.476,2.190,0.001,1.000,0.000,0.967,10.416,95.766
13,27,0.418,2.019,0.000,1.000,0.000,0.946,13.601,151.625
14,50,0.293,2.196,0.030,1.000,1.000,0.931,33.631,465.980
15,52,0.302,2.175,0.026,1.000,0.000,0.922,35.581,484.034
16,28,0.442,2.533,0.035,2.000,0.000,0.953,15.220,179.513
17,20,0.447,2.230,0.001,1.000,0.000,0.960,7.746,107.659
18,54,0.383,2.333,0.008,1.000,2.000,0.942,51.184,543.796
19,20,0.445,2.401,0.001,1.000,0.000,0.973,10.742,110.391
20,40,0.448,2.265,0.007,1.000,0.000,0.941,24.623,295.959
21,20,0.389,2.316,0.004,1.000,0.000,0.954,14.242,116.512
22,43,0.424,2.489,0.014,1.000,0.000,0.957,25.309,431.176
23,45,0.455,2.401,0.042,5.000,4.000,0.966,28.189,416.989
24,24,0.455,2.177,0.033,1.000,0.000,0.966,12.117,153.050
25,30,0.377,2.266,0.009,1.000,0.000,0.939,14.269,191.477
26,26,0.421,2.245,0.007,1.000,0.000,0.963,11.434,144.982
27,42,0.358,2.303,0.016,2.000,0.000,0.934,22.984,319.890
28,41,0.395,2.026,0.016,3.000,0.000,0.916,23.205,326.022
29,33,0.364,2.305,0.007,1.000,0.000,0.934,38.527,261.002
