Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,6,0.398,2.510,0.079,0.426,0.940,5.484,62.530
1,16,0.420,2.950,0.008,0.030,0.961,21.117,236.600
2,14,0.467,2.805,0.024,0.187,0.947,15.873,128.565
3,8,0.381,3.048,0.608,1.367,0.980,8.095,107.747
4,6,0.401,2.969,0.148,0.531,0.929,6.668,96.422
5,19,0.422,2.672,0.010,0.045,0.954,24.401,244.148
6,5,0.457,2.402,0.132,0.657,0.923,4.163,54.103
7,8,0.478,2.945,0.220,0.911,0.938,7.749,94.120
8,15,0.479,3.931,0.004,0.009,0.938,16.305,275.117
9,17,0.487,2.582,0.146,0.896,0.937,21.574,186.521
10,8,0.532,2.322,0.128,0.632,0.948,6.773,98.405
11,13,0.462,3.277,0.011,0.033,0.966,12.009,178.411
12,5,0.377,2.309,0.577,1.330,0.970,3.791,85.164
13,5,0.410,2.135,0.073,0.128,0.923,5.518,95.836
14,14,0.518,3.547,0.004,0.010,0.947,15.079,247.283
15,14,0.479,2.662,0.004,0.016,0.966,16.482,216.819
16,16,0.443,2.747,0.049,0.139,0.983,17.470,195.649
17,26,0.458,3.301,0.015,0.065,0.935,41.071,360.982
18,17,0.472,2.679,0.011,0.030,0.938,20.052,213.963
19,16,0.468,2.547,0.002,0.006,0.934,17.739,196.245
20,24,0.436,2.807,0.088,0.813,0.962,34.881,341.381
21,3,0.465,2.431,0.272,0.527,0.952,2.643,30.524
22,24,0.434,3.048,0.008,0.033,0.945,30.171,330.037
23,7,0.384,4.587,0.032,0.131,0.943,5.250,82.535
24,11,0.456,2.821,0.021,0.062,0.939,11.339,196.393
25,9,0.515,5.422,0.373,1.216,0.963,7.488,155.366
26,6,0.501,3.527,0.730,2.001,0.949,5.225,88.355
27,11,0.515,3.574,0.004,0.013,0.935,12.662,160.466
28,12,0.443,2.851,0.137,0.846,0.928,11.984,203.020
29,6,0.502,5.027,0.511,0.870,0.957,5.054,124.761
