Data,Feasible Num,Static Stability,Arm Path,Position Offset,Collapsed Placement,Dangerous Operation,Plain Occupancy,Planning Time,All time
0,9,0.466,2.303,0.051,1.000,0.000,0.979,0.015,44.587
1,12,0.443,2.123,0.069,5.000,0.000,0.978,0.034,56.801
2,12,0.522,3.386,0.017,1.000,0.000,0.964,0.020,69.045
3,8,0.347,2.264,0.035,2.000,2.000,0.970,0.020,84.364
4,56,0.347,2.676,0.021,1.000,0.000,0.901,0.319,513.442
5,56,0.395,2.364,0.024,1.000,0.000,0.933,0.268,542.213
6,11,0.323,1.966,0.031,1.000,2.000,0.964,0.011,101.118
7,19,0.465,2.156,0.000,1.000,0.000,0.963,0.072,93.848
8,32,0.406,2.376,0.007,1.000,0.000,0.950,0.190,203.562
9,39,0.314,2.689,0.013,1.000,1.000,0.931,0.208,340.252
10,27,0.453,2.190,0.002,1.000,0.000,0.951,0.121,147.022
11,11,0.366,1.992,0.053,4.000,2.000,0.926,0.020,96.653
12,24,0.391,2.065,0.005,1.000,2.000,0.956,0.094,160.046
13,43,0.340,2.659,0.007,1.000,1.000,0.917,0.254,333.848
14,38,0.384,2.433,0.016,2.000,0.000,0.930,0.195,266.824
15,6,0.313,2.052,0.128,2.000,1.000,0.894,0.008,57.708
16,35,0.430,2.141,0.014,1.000,1.000,0.956,0.175,264.347
17,30,0.448,2.493,0.001,1.000,0.000,0.960,0.111,166.370
18,57,0.337,2.179,0.029,4.000,3.000,0.926,0.410,527.395
19,33,0.432,2.270,0.178,6.000,0.000,0.955,0.151,219.835
20,26,0.507,2.000,0.000,1.000,0.000,0.947,0.121,121.147
21,37,0.327,2.213,0.012,1.000,0.000,0.937,0.177,261.489
22,39,0.465,2.118,0.008,1.000,0.000,0.950,0.114,302.152
23,29,0.469,2.263,0.010,1.000,1.000,0.965,0.084,190.928
24,30,0.360,2.146,0.010,1.000,3.000,0.965,0.166,238.683
25,15,0.428,2.763,0.003,1.000,1.000,0.963,0.046,139.656
26,3,0.328,2.429,0.224,2.000,1.000,0.938,0.003,42.239
27,36,0.363,2.161,0.010,1.000,1.000,0.938,0.131,251.856
28,41,0.404,2.340,0.006,1.000,0.000,0.918,0.191,292.342
29,43,0.364,2.186,0.015,1.000,0.000,0.937,0.242,332.116
