Data,Feasible Num,Static Stability,Position Offset Mean,Position Offset Max,Space Utilization,Planning Time,All time
0,37,0.4248,0.0217,0.0925,0.4108,7.7641,378.0147
1,9,0.4527,0.0197,0.0576,0.1982,1.8150,133.8792
2,33,0.4184,0.0098,0.0282,0.4900,6.5022,233.4068
3,26,0.5052,0.0083,0.0505,0.4471,5.1226,156.8060
4,20,0.4939,0.0007,0.0030,0.1889,4.2861,98.2205
5,27,0.4953,0.0015,0.0071,0.3089,5.7401,176.3373
6,16,0.5174,0.0004,0.0012,0.1654,3.4204,72.1640
7,8,0.4282,0.1030,0.3305,0.1328,1.6542,103.4378
8,44,0.3706,0.0231,0.1182,0.4798,8.7040,364.0310
9,30,0.5003,0.0014,0.0136,0.2625,6.6033,173.4859
10,7,0.5175,0.0174,0.1090,0.1321,1.3839,49.5322
11,15,0.4381,0.0122,0.1122,0.2858,2.9404,101.9591
12,29,0.4571,0.0040,0.0158,0.2973,9.0628,209.5417
13,65,0.3744,0.0362,0.1113,0.5714,20.0380,853.0904
14,33,0.4804,0.0105,0.0467,0.4487,9.6430,364.5883
15,29,0.4251,0.0091,0.0589,0.5751,7.8237,286.9648
16,5,0.4592,0.0689,0.1880,0.0862,1.0481,64.1989
17,14,0.5294,0.0667,0.5048,0.2149,3.4592,101.0520
18,32,0.4500,0.0199,0.0809,0.3656,8.7896,626.9921
19,21,0.4356,0.0078,0.0675,0.3186,6.8917,129.7866
20,36,0.3821,0.0175,0.0936,0.3843,12.1882,319.8527
21,30,0.4919,0.0744,0.3143,0.2486,11.0556,3245.7268
22,32,0.4152,0.0239,0.1202,0.3389,9.3210,316.9702
23,30,0.4458,0.0062,0.0607,0.3199,7.1344,218.5623
24,15,0.5039,0.0023,0.0261,0.2638,3.4844,75.9509
25,6,0.4571,0.0194,0.0740,0.1880,1.0765,110.5993
26,5,0.4968,0.0002,0.0005,0.0630,1.1882,26.4046
27,37,0.4700,0.0037,0.0151,0.3254,8.9860,273.2358
28,25,0.5141,0.0045,0.0468,0.3730,5.6094,171.7697
29,28,0.4870,0.0044,0.0288,0.3946,6.0780,264.7711
