Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Collapsed Placement Num,Dangerous Operation Num,Occupancy,Planning Time,All time
0,8,0.271,2.491,0.079,0.219,4.000,0.000,0.893,12.773,81.354
1,3,0.468,2.469,0.002,0.002,1.000,0.000,0.963,2.852,26.543
2,5,0.387,2.465,0.004,0.007,1.000,0.000,0.909,14.456,54.471
3,4,0.427,2.822,0.887,1.483,4.000,0.000,1.000,5.787,43.947
4,4,0.424,2.490,0.001,0.003,1.000,0.000,0.876,6.645,39.351
5,5,0.319,2.636,0.521,1.049,4.000,0.000,0.797,10.992,46.281
6,4,0.377,2.702,0.003,0.004,1.000,0.000,0.913,5.946,39.344
7,2,0.458,2.469,0.001,0.001,1.000,0.000,0.936,0.915,18.137
8,10,0.361,2.481,0.017,0.068,1.000,1.000,0.679,32.144,96.804
9,4,0.407,2.473,0.003,0.004,1.000,0.000,0.843,10.983,45.933
10,2,0.394,2.524,0.001,0.001,1.000,0.000,0.970,0.680,17.734
11,6,0.393,2.991,0.608,1.211,4.000,0.000,0.844,21.957,64.586
12,5,0.431,2.452,0.597,1.366,4.000,1.000,0.970,5.435,47.029
13,3,0.483,2.459,0.572,0.897,3.000,0.000,0.936,3.528,29.422
14,3,0.438,2.425,0.665,1.156,3.000,0.000,0.966,2.992,26.001
15,1,0.401,2.498,0.000,0.000,1.000,0.000,0.949,0.011,14.006
16,1,0.462,2.560,0.000,0.000,1.000,0.000,0.925,0.014,16.547
17,4,0.412,3.091,0.002,0.004,1.000,0.000,0.936,13.880,58.538
18,2,0.403,2.538,0.000,0.001,1.000,0.000,0.933,0.562,17.481
19,5,0.398,2.491,0.348,1.031,3.000,1.000,0.816,6.359,44.585
20,4,0.415,2.470,0.388,0.823,4.000,0.000,0.974,12.993,45.364
21,3,0.380,3.682,0.002,0.004,1.000,0.000,0.952,4.713,30.076
22,3,0.493,2.497,0.338,0.708,2.000,0.000,0.912,3.487,29.832
23,1,0.345,2.548,0.000,0.000,1.000,0.000,0.972,0.023,22.008
24,3,0.424,2.499,0.003,0.004,1.000,0.000,0.955,3.965,36.875
25,3,0.477,2.432,0.968,1.375,3.000,0.000,0.980,3.481,26.353
26,4,0.299,2.414,0.019,0.072,1.000,0.000,0.877,4.518,31.893
27,4,0.437,2.486,0.397,0.800,4.000,0.000,0.932,8.111,56.166
28,3,0.439,2.460,0.003,0.005,1.000,0.000,0.925,2.738,24.818
29,3,0.518,2.780,0.534,0.849,3.000,0.000,0.992,2.592,44.000
