Data,Feasible Num,Static Stability,Arm Path,Position Offset Mean,Position Offset Max,Occupancy,Planning Time,All time
0,6,0.300,3.077,0.012,0.041,0.868,0.015,42.853
1,9,0.424,2.932,0.008,0.067,0.881,0.023,79.679
2,6,0.515,2.487,0.000,0.001,0.944,0.019,39.717
3,24,0.484,2.746,0.008,0.048,0.939,0.098,217.418
4,12,0.405,2.525,0.004,0.027,0.835,0.048,77.294
5,9,0.515,2.358,0.000,0.001,0.851,0.031,50.074
6,22,0.382,2.176,0.013,0.059,0.868,0.104,187.291
7,6,0.476,2.383,0.000,0.000,0.937,0.012,37.744
8,30,0.272,2.607,0.022,0.100,0.792,0.172,302.133
9,9,0.452,2.572,0.006,0.048,0.915,0.027,55.225
10,11,0.530,2.638,0.001,0.003,0.856,0.039,64.900
11,5,0.471,2.584,0.001,0.002,0.968,0.012,42.454
12,8,0.406,2.317,0.000,0.001,0.946,0.015,48.778
13,14,0.447,3.145,0.005,0.042,0.903,0.048,119.688
14,15,0.459,2.103,0.003,0.032,0.939,0.043,100.166
15,10,0.473,3.062,0.008,0.082,0.916,0.026,63.713
16,18,0.253,2.064,0.017,0.057,0.779,0.082,150.981
17,4,0.558,2.541,0.000,0.001,0.925,0.009,26.710
18,12,0.386,3.049,0.007,0.036,0.820,0.042,84.963
19,5,0.500,2.563,0.000,0.001,0.888,0.012,30.163
20,15,0.420,2.115,0.023,0.283,0.905,0.065,133.110
21,5,0.432,2.555,0.000,0.001,0.953,0.010,30.532
22,4,0.438,2.613,0.000,0.000,0.924,0.010,26.145
23,5,0.458,2.493,0.000,0.000,0.946,0.014,31.756
24,4,0.554,2.631,0.000,0.001,0.939,0.008,32.579
25,19,0.506,2.229,0.004,0.038,0.958,0.036,149.565
26,4,0.492,2.610,0.008,0.027,0.945,0.004,27.047
27,7,0.495,2.935,0.004,0.018,0.935,0.021,47.702
28,16,0.525,2.269,0.013,0.204,0.926,0.058,91.298
29,13,0.523,2.299,0.001,0.001,0.957,0.026,74.099
